gpu_name,manufacturer,old_architecture,new_architecture
Radeon Ryzen 9 5900HX,AMD,Unknown,RDNA 2
Tesla C2075,NVIDIA,Unknown,Fermi
Radeon Pro 455,AMD,Unknown,GCN
Radeon HD 7790,AMD,Unknown,GCN
FirePro W5000,AMD,Unknown,GCN
GeForce GTX 560 Ti,NVIDIA,Unknown,Fermi
GeForce GTX 860M,NVIDIA,Unknown,Kepler
Radeon HD 6990,AMD,Unknown,VLIW5
Ryzen 9 5900HX with Radeon Graphics,AMD,Unknown,RDNA 2
FirePro W5100,AMD,Unknown,GCN
Ryzen 7 PRO 4700G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon HD 6970,AMD,Unknown,VLIW5
FirePro W4300,AMD,Unknown,GCN
GeForce MX350,NVIDIA,Unknown,Pascal
Radeon Pro V340 MxGPU,AMD,Unknown,GCN (Vega)
Ryzen 7 5800H with Radeon Graphics,AMD,Unknown,RDNA 2
FirePro 3D V9800,AMD,Unknown,GCN
Radeon Ryzen 7 PRO 5750GE,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 5800H,AMD,Unknown,RDNA 2
Radeon Ryzen 9 5900H,AMD,Unknown,RDNA 2
Radeon Ryzen 5 4600H,AMD,Unknown,GCN (Vega)
FirePro V9800,AMD,Unknown,GCN
Radeon Pro 450,AMD,Unknown,GCN
Ryzen 9 4900H with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce GTX 560,NVIDIA,Unknown,Fermi
Radeon Ryzen 9 4900H,AMD,Unknown,GCN (Vega)
Ryzen 7 Pro 4750G with Radeon Graphics,AMD,Unknown,GCN
FirePro M6100 FireGL V,AMD,Unknown,GCN
Radeon HD 6950,AMD,Unknown,VLIW5
Radeon Pro WX 3100,AMD,Unknown,GCN
Radeon Pro,AMD,Unknown,GCN
Ryzen 7 PRO 5750GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 PRO 4750G,AMD,Unknown,GCN (Vega)
Ryzen 7 PRO 5750G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 4700G,AMD,Unknown,GCN (Vega)
GeForce GTX 850M,NVIDIA,Unknown,Maxwell
Ryzen 7 PRO 4750GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce MX330,NVIDIA,Unknown,Pascal
GeForce GT 1030,NVIDIA,Unknown,Pascal
Radeon HD 6850 X2,AMD,Unknown,VLIW5
Ryzen 9 5980HS with Radeon Graphics,AMD,Unknown,GCN (Vega)
FireStream 9370,AMD,Unknown,GCN
GeForce MX250,NVIDIA,Unknown,Pascal
Ryzen 5 PRO 5650G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 4700GE,AMD,Unknown,GCN (Vega)
Ryzen 5 PRO 5650GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 7 4700GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 7 5800U with Radeon Graphics,AMD,Unknown,RDNA 2
Radeon Pro WX 3200,AMD,Unknown,GCN
Ryzen 7 PRO 5850U with Radeon Graphics,AMD,Unknown,GCN (Vega)
FirePro 3D V8800,AMD,Unknown,GCN
Radeon Ryzen 5 PRO 4650G,AMD,Unknown,GCN (Vega)
Ryzen 3 4300GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 5 Pro 4650G with Radeon Graphics,AMD,Unknown,GCN
Ryzen 3 5300GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce GTX 580M,NVIDIA,Unknown,Fermi
Radeon Ryzen 5 PRO 5650GE,AMD,Unknown,GCN (Vega)
GeForce GTX 485M,NVIDIA,Unknown,Fermi
Ryzen 7 4800U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 3 PRO 5350G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 3 PRO 5350GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 PRO 5850U,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 5800U,AMD,Unknown,RDNA 2
GeForce MX150,NVIDIA,Unknown,Pascal
Ryzen 5 PRO 4400G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 3 4300GE,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 Microsoft Surface Edition,AMD,Unknown,GCN (Vega)
GeForce GTX 460,NVIDIA,Unknown,Fermi
Radeon Ryzen 7 4800U,AMD,Unknown,GCN (Vega)
Radeon Pro Ryzen 7 PRO 5850U,AMD,Unknown,GCN (Vega)
Radeon HD 6970M,AMD,Unknown,VLIW5
Radeon HD 8950,AMD,Unknown,GCN
Radeon HD 5870,AMD,Unknown,VLIW5
Radeon HD 5970,AMD,Unknown,VLIW5
Radeon HD 6870,AMD,Unknown,VLIW5
Ryzen 3 5300G with Radeon Graphics,AMD,Unknown,GCN (Vega)
FirePro V8800,AMD,Unknown,GCN
Radeon Ryzen 5 PRO 5650G,AMD,Unknown,GCN (Vega)
Radeon HD 7770,AMD,Unknown,GCN
Radeon Ryzen 7 PRO 4750GE,AMD,Unknown,GCN (Vega)
Ryzen 3 Pro 4350G with Radeon Graphics,AMD,Unknown,GCN
Ryzen 7 4700G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 5 4600G,AMD,Unknown,GCN (Vega)
Ryzen 5 PRO 5650U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 3 PRO 4350GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 3 PRO 4350G,AMD,Unknown,GCN (Vega)
Ryzen 7 Extreme Edition,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 PRO 5750G,AMD,Unknown,GCN (Vega)
Radeon Ryzen Embedded V2718,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 4850U Mobile,AMD,Unknown,GCN (Vega)
Radeon Ryzen 5 PRO 5650U,AMD,Unknown,GCN (Vega)
Ryzen 7 4800H with Radeon Graphics,AMD,Unknown,GCN (Vega)
FirePro M5100,AMD,Unknown,GCN
Radeon Ryzen 5 Microsoft Surface Edition,AMD,Unknown,GCN (Vega)
GeForce GTX 560 SE,NVIDIA,Unknown,Fermi
Ryzen 5 4600G with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce GTX 480M,NVIDIA,Unknown,Fermi
Radeon Ryzen 7 4700U,AMD,Unknown,GCN (Vega)
Radeon Ryzen 5 PRO 4650GE,AMD,Unknown,GCN (Vega)
Ryzen 7 4700U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Ryzen 7 PRO 4750U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 7 PRO 4750U,AMD,Unknown,GCN (Vega)
Ryzen 5 PRO 4500U with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce GT 645,NVIDIA,Unknown,Kepler
GeForce GTX 460 v2,NVIDIA,Unknown,Fermi
Radeon HD 6850,AMD,Unknown,VLIW5
Ryzen 5 PRO 4650GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce GTX 460 SE,NVIDIA,Unknown,Fermi
Radeon HD 5850,AMD,Unknown,VLIW5
Radeon 550,AMD,Unknown,GCN
Radeon HD 7660D + HD 7700 Dual,AMD,Unknown,GCN
GeForce GTX 470M,NVIDIA,Unknown,Fermi
Ryzen 5 4600U with Radeon Graphics,AMD,Unknown,GCN (Vega)
GeForce 945M,NVIDIA,Unknown,Maxwell
FirePro M6100,AMD,Unknown,GCN
Ryzen 5 4600H with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Pro WX 4150,AMD,Unknown,GCN
Radeon HD 7560D + 7700 Dual,AMD,Unknown,GCN
GeForce GTX 570M,NVIDIA,Unknown,Fermi
Ryzen 3 4300G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon HD 7700-serie,AMD,Unknown,GCN
GeForce MX130,NVIDIA,Unknown,Pascal
Radeon HD 8670D + HD 7700 Dual,AMD,Unknown,GCN
GeForce MX230,NVIDIA,Unknown,Pascal
Radeon Pro WX 4130,AMD,Unknown,GCN
FirePro M5100 FireGL V,AMD,Unknown,GCN
Radeon HD 8570D + HD 7700 Dual,AMD,Unknown,GCN
FirePro M6000,AMD,Unknown,GCN
Ryzen 5 4500U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 5 4600U,AMD,Unknown,GCN (Vega)
Radeon Ryzen 5 4500U,AMD,Unknown,GCN (Vega)
Ryzen 3 PRO 4200G with Radeon Graphics,AMD,Unknown,GCN (Vega)
Embedded Radeon E9173,AMD,Unknown,GCN
Radeon HD 8670D + 7700 Dual,AMD,Unknown,GCN
Ryzen 3 PRO 4200GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Pro WX 2100,AMD,Unknown,GCN
FirePro W600,AMD,Unknown,GCN
Radeon HD 5830,AMD,Unknown,VLIW5
Ryzen 3 5400U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Ryzen 3 PRO 4200GE,AMD,Unknown,GCN (Vega)
FirePro M6000 Mobility Pro,AMD,Unknown,GCN
Radeon Ryzen 5 PRO 4650U,AMD,Unknown,GCN (Vega)
Radeon HD 7750,AMD,Unknown,GCN
Ryzen 5 PRO 4650U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon HD HD7850M,AMD,Unknown,GCN
Radeon HD 8870M,AMD,Unknown,GCN
Ryzen 3 5300U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon E8860,AMD,Unknown,GCN
Radeon HD 6790,AMD,Unknown,VLIW5
Seria Radeon HD 7700,AMD,Unknown,GCN
FirePro M4000,AMD,Unknown,GCN
Radeon Ryzen 3 4300G,AMD,Unknown,GCN (Vega)
FirePro M4000 Mobility Pro,AMD,Unknown,GCN
GeForce GTX 550 Ti,NVIDIA,Unknown,Fermi
Ryzen 3 PRO 5450U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon HD 7560D + HD 6670 Dual,AMD,Unknown,GCN
Radeon HD 8470D + HD 7500 Dual,AMD,Unknown,GCN
Ryzen 3 PRO 4300U with Radeon Graphics,AMD,Unknown,GCN (Vega)
FirePro W4100,AMD,Unknown,GCN
FirePro V8700,AMD,Unknown,GCN
Ryzen 3 PRO 4450U with Radeon Graphics,AMD,Unknown,GCN (Vega)
FirePro W6150M,AMD,Unknown,GCN
Radeon HD 7870M,AMD,Unknown,GCN
Radeon Ryzen 3 PRO 4450U,AMD,Unknown,GCN (Vega)
GeForce 940MX,NVIDIA,Unknown,Pascal
Radeon HD 6670 + 7660D Dual,AMD,Unknown,VLIW5
Radeon HD 7660D + HD 6670 Dual,AMD,Unknown,GCN
GeForce MX110,NVIDIA,Unknown,Pascal
Radeon Ryzen 3 PRO 4350GE,AMD,Unknown,GCN (Vega)
Ryzen 5 PRO 4400GE with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon HD 8470D + HD 6670 Dual,AMD,Unknown,GCN
GeForce 845M,NVIDIA,Unknown,Tesla (Legacy)
Radeon 550X,AMD,Unknown,GCN
Radeon HD 7560D + 7670 Dual,AMD,Unknown,GCN
Radeon Ryzen 5 4600GE,AMD,Unknown,GCN (Vega)
Radeon Pro WX 4170,AMD,Unknown,GCN
Radeon Ryzen 3 PRO 5350G,AMD,Unknown,GCN (Vega)
Radeon Ryzen 3 5300G,AMD,Unknown,GCN (Vega)
Radeon 540X,AMD,Unknown,GCN
Radeon HD 7560D + HD 7670 Dual,AMD,Unknown,GCN
Radeon HD 7850M,AMD,Unknown,GCN
FirePro M40003,AMD,Unknown,GCN
Radeon HD 8670D + 6670 Dual,AMD,Unknown,GCN
Radeon HD 5770,AMD,Unknown,VLIW5
Ryzen 3 4300U with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon HD 7560D + HD 7700 Dual,AMD,Unknown,GCN
FirePro W5130M,AMD,Unknown,GCN
FireStream 9270,AMD,Unknown,GCN
Radeon HD 8670D + HD 7600 Dual,AMD,Unknown,GCN
FirePro M5950,AMD,Unknown,GCN
Radeon Ryzen 3 4300U,AMD,Unknown,GCN (Vega)
Radeon HD 8790M,AMD,Unknown,GCN
GeForce 930MX,NVIDIA,Unknown,Pascal
Radeon Ryzen Embedded V2748,AMD,Unknown,GCN (Vega)
Radeon 540,AMD,Unknown,GCN
FirePro 3D V8750,AMD,Unknown,GCN
FirePro V5900,AMD,Unknown,GCN
GeForce GTX 560M,NVIDIA,Unknown,Fermi
Radeon HD 8570D + HD 6670 Dual,AMD,Unknown,GCN
Radeon HD 7560D + HD 7600 Dual,AMD,Unknown,GCN
Radeon HD 8570D + 6570 Dual,AMD,Unknown,GCN
Radeon HD 7660D + 6670 Dual,AMD,Unknown,GCN
Radeon HD 7560D + HD 6570 Dual,AMD,Unknown,GCN
FirePro 3D V5800,AMD,Unknown,GCN
Radeon HD 6770,AMD,Unknown,VLIW5
Radeon HD 8670D + HD 6670 Dual,AMD,Unknown,GCN
Radeon HD 7730,AMD,Unknown,GCN
FirePro 3D V8700,AMD,Unknown,GCN
Radeon HD 7660D + 7540D Dual,AMD,Unknown,GCN
GeForce GTX 460M,NVIDIA,Unknown,Fermi
Radeon HD 7750M,AMD,Unknown,GCN
FirePro V5800,AMD,Unknown,GCN
Radeon Ryzen 3 5400U,AMD,Unknown,GCN (Vega)
GeForce 840A,NVIDIA,Unknown,Tesla (Legacy)
FireStream 9250,AMD,Unknown,GCN
Radeon HD 5750,AMD,Unknown,VLIW5
Radeon Ryzen 3 PRO 5450U,AMD,Unknown,GCN (Vega)
Radeon HD 7560D + 6670 Dual,AMD,Unknown,GCN
Radeon HD 8650G + 7700M Dual,AMD,Unknown,GCN
Radeon HD 7660D + 7500 Dual,AMD,Unknown,GCN
Radeon HD 7660D + 6570 Dual,AMD,Unknown,GCN
GeForce GTX 850M - MODDED,NVIDIA,Unknown,Maxwell
GeForce 920MX,NVIDIA,Unknown,Pascal
Radeon HD 8450G + 8600/8700M Dual,AMD,Unknown,GCN
FirePro M4170,AMD,Unknown,GCN
GeForce 840M,NVIDIA,Unknown,Tesla (Legacy)
Mobility Radeon HD 5870,AMD,Unknown,VLIW5
Radeon HD 7660D + 7670 Dual,AMD,Unknown,GCN
Radeon HD 7520G + 7700M Dual,AMD,Unknown,GCN
Radeon HD 7670A,AMD,Unknown,GCN
Radeon 535,AMD,Unknown,GCN
Radeon HD 8570D + 6670 Dual,AMD,Unknown,GCN
Radeon HD 8570D + HD 8570 Dual,AMD,Unknown,GCN
Radeon HD 8600/8700M,AMD,Unknown,GCN
Radeon HD 7690M XT,AMD,Unknown,GCN
Radeon HD 6750,AMD,Unknown,VLIW5
GeForce 830A,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7690M,AMD,Unknown,GCN
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,AMD,Unknown,GCN
Radeon HD 7660G + HD 7500M/7600M Dual,AMD,Unknown,GCN
FirePro M4150,AMD,Unknown,GCN
Radeon HD 7640G + HD 8750M Dual,AMD,Unknown,GCN
Radeon HD 8570,AMD,Unknown,GCN
Radeon HD 7560D + 7570 Dual,AMD,Unknown,GCN
Radeon HD 8690M,AMD,Unknown,GCN
Radeon HD 7560D + 7560D Dual,AMD,Unknown,GCN
GeForce 830M,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8670D + 8570 Dual,AMD,Unknown,GCN
FirePro V4900,AMD,Unknown,GCN
Radeon HD 8850M,AMD,Unknown,GCN
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,AMD,Unknown,GCN
Radeon HD 6770M,AMD,Unknown,VLIW5
GeForce GT 645M,NVIDIA,Unknown,Kepler
FirePro W4170M,AMD,Unknown,GCN
Radeon HD 8570 + HD 7660D Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7690M Dual,AMD,Unknown,GCN
Radeon HD 6670/7670,AMD,Unknown,VLIW5
Radeon 530,AMD,Unknown,GCN
Radeon HD 6750M,AMD,Unknown,VLIW5
Radeon HD 7560D + HD 8570 Dual,AMD,Unknown,GCN
Radeon HD 7660G + 7730M Dual,AMD,Unknown,GCN
Radeon. HD 7730M,AMD,Unknown,GCN
Radeon HD 8550G + 7600M Dual,AMD,Unknown,GCN
FirePro W2100,AMD,Unknown,GCN
Radeon HD 8650G + 7670M Dual,AMD,Unknown,GCN
Radeon HD 7660G + HD 7730M Dual,AMD,Unknown,GCN
Radeon E6760,AMD,Unknown,GCN
Radeon HD 8570D + HD 6570 Dual,AMD,Unknown,GCN
Radeon HD 8470D + HD 6450 Dual,AMD,Unknown,GCN
Radeon HD 8750M,AMD,Unknown,GCN
Radeon HD 8550G + HD 7600M Dual,AMD,Unknown,GCN
FirePro 3D V4800,AMD,Unknown,GCN
Radeon HD 8500M/8700M,AMD,Unknown,GCN
Radeon HD 8470D + 6570 Dual,AMD,Unknown,GCN
Radeon HD 6650A,AMD,Unknown,VLIW5
Radeon HD 7560D + 6570 Dual,AMD,Unknown,GCN
Radeon 520,AMD,Unknown,GCN
Radeon HD 7660G + 7600M Dual,AMD,Unknown,GCN
Radeon HD 7520G + HD 7500/7600 Dual,AMD,Unknown,GCN
Radeon HD 8650G + 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,AMD,Unknown,GCN
Radeon HD 7540D + 7500 Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 7600M Dual,AMD,Unknown,GCN
Radeon HD 8550G + HD 8750M Dual,AMD,Unknown,GCN
Radeon 535DX,AMD,Unknown,GCN
Radeon HD 7670,AMD,Unknown,GCN
Radeon HD 8670D + 7000 Dual,AMD,Unknown,GCN
Radeon HD 8550G + 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 8790M Dual,AMD,Unknown,GCN
Radeon HD 8550G + 8750M Dual,AMD,Unknown,GCN
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 8650G + 8750M Dual,AMD,Unknown,GCN
Radeon HD 5670,AMD,Unknown,VLIW5
Radeon HD 8650G + HD 8750M Dual,AMD,Unknown,GCN
Radeon HD 7660G + HD 7700M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7500M/7600M Dual,AMD,Unknown,GCN
Radeon HD 7600M + 7600M Dual,AMD,Unknown,GCN
Radeon HD 8650G N HD 8650G + HD 8570M Dual,AMD,Unknown,GCN
Mobility Radeon HD 5000,AMD,Unknown,VLIW5
GeForce 825M,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8650G + HD 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 6450 + 8470D Dual,AMD,Unknown,VLIW5
Mobility Radeon HD 5850,AMD,Unknown,VLIW5
Radeon HD 7660G + HD 7500/7600 Dual,AMD,Unknown,GCN
Radeon HD 7660G + HD 8500M Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 8600M N HD 8600M Dual,AMD,Unknown,GCN
Radeon HD 7660G + 7700M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7450M Dual,AMD,Unknown,GCN
Radeon HD 8570D + HD 7000 Dual,AMD,Unknown,GCN
Radeon HD 6650M,AMD,Unknown,VLIW5
Radeon HD 7660G + HD 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7650M Dual,AMD,Unknown,GCN
Radeon HD 7660G + 7610M Dual,AMD,Unknown,GCN
Radeon HD 6670,AMD,Unknown,VLIW5
Radeon HD 7660G + 7670M Dual,AMD,Unknown,GCN
Radeon HD 8650G + 7600M Dual,AMD,Unknown,GCN
Radeon HD 7670M + 7670M Dual,AMD,Unknown,GCN
Radeon HD 7550M/7650M,AMD,Unknown,GCN
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,AMD,Unknown,GCN
Radeon HD 7540D + 6570 Dual,AMD,Unknown,GCN
Radeon HD 8670D + HD 7000 Dual,AMD,Unknown,GCN
Radeon HD 8470D + 6450 Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 8570M Dual,AMD,Unknown,GCN
Radeon HD 7660G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 6550A,AMD,Unknown,VLIW5
Radeon HD 7660G + HD 7670M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7600M Dual,AMD,Unknown,GCN
Radeon HD 7660G N HD 7660G + HD 7670M Dual,AMD,Unknown,GCN
Radeon HD 7640G + HD 7600M Dual,AMD,Unknown,GCN
Radeon HD 7570M/HD 7670M,AMD,Unknown,GCN
Radeon HD 7640G + 7700M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 6630M,AMD,Unknown,VLIW5
Radeon HD 8550D,AMD,Unknown,GCN
Radeon HD 7640G N HD 7640G + HD 7670M Dual,AMD,Unknown,GCN
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,AMD,Unknown,GCN
Radeon HD 7640G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 7640G + HD 8500M N HD 8500M Dual,AMD,Unknown,GCN
FirePro M7740,AMD,Unknown,GCN
Radeon HD 8550G + 8690M Dual,AMD,Unknown,GCN
FirePro V3900,AMD,Unknown,GCN
Radeon HD 8730M,AMD,Unknown,GCN
Radeon HD 8550G + HD 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 8750M Dual,AMD,Unknown,GCN
Radeon HD 8650G + 8570M Dual,AMD,Unknown,GCN
Radeon HD 7520G + HD 8750M Dual,AMD,Unknown,GCN
Radeon HD 6670 + 6670 Dual,AMD,Unknown,VLIW5
FireStream 9170,AMD,Unknown,GCN
Radeon HD 8610G + HD 8500M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7670M Dual,AMD,Unknown,GCN
Radeon HD 7540D + HD 6450 Dual,AMD,Unknown,GCN
GeForce 8800 Ultra,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7640G + 7400M Dual,AMD,Unknown,GCN
Radeon HD 8450G + 8750M Dual,AMD,Unknown,GCN
Radeon HD 8650G + 8670M Dual,AMD,Unknown,GCN
Radeon HD 7730M,AMD,Unknown,GCN
Radeon HD 7660D + HD 7000 Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 7670M Dual,AMD,Unknown,GCN
Radeon HD 7610M,AMD,Unknown,GCN
Radeon HD 7640G + HD 7700M N HD 7700M Dual,AMD,Unknown,GCN
Radeon HD 7660G + 7470M Dual,AMD,Unknown,GCN
Radeon HD 8510G + HD 8500M Dual,AMD,Unknown,GCN
Radeon HD 8650G + 8500M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7500/7600 Dual,AMD,Unknown,GCN
Radeon HD 7520G + HD 8600/8700M Dual,AMD,Unknown,GCN
GeForce 810A,NVIDIA,Unknown,Tesla (Legacy)
