hardware_name,unified_manufacturer,type,g3d_mark,g2d_mark,fps_estimate_3d,cuda_score,opencl_score,unified_price,unified_tdp,fps_per_dollar,multi_api_support
GTX Titan X,NVIDIA,GPU,13173.0,843.0,131.73,33701.0,39047.0,999.0,250.0,0.13186186186186186,4
Tesla P4,NVIDIA,GPU,0.0,0.0,0.0,31513.0,34282.0,0.0,75.0,0.0,2
GTX Titan Black,NVIDIA,GPU,9140.0,616.0,91.4,20282.0,25112.0,999.0,250.0,0.0914914914914915,4
Quadro P4000,NVIDIA,GPU,11422.0,820.0,114.22,39254.0,42289.0,815.0,105.0,0.14014723926380368,3
Quadro K6000,NVIDIA,GPU,8108.0,556.0,81.08,17571.0,17636.0,5265.0,225.0,0.015399810066476732,4
GTX 980,NVIDIA,GPU,11237.0,815.0,112.37,29848.0,33463.0,549.0,165.0,0.20468123861566484,4
GTX Titan,NVIDIA,GPU,8556.0,660.0,85.56,17933.0,21881.0,999.0,250.0,0.08564564564564565,4
GTX 780,NVIDIA,GPU,8022.0,601.0,80.22,18049.0,21004.0,649.0,250.0,0.1236055469953775,4
Tesla K20c,NVIDIA,GPU,0.0,0.0,0.0,11850.0,14766.0,3199.0,225.0,0.0,2
Quadro M4000,NVIDIA,GPU,6644.0,689.0,66.44,16648.0,18372.0,0.0,120.0,0.0,3
GTX 580,NVIDIA,GPU,4538.0,456.0,45.38,0.0,14740.0,499.0,244.0,0.09094188376753508,1
Quadro K4000,NVIDIA,GPU,2700.0,419.0,27.0,5210.0,6816.0,1269.0,80.0,0.02127659574468085,4
Quadro P600,NVIDIA,GPU,3324.0,482.0,33.24,10634.0,11181.0,178.0,40.0,0.18674157303370786,3
Quadro K1200,NVIDIA,GPU,2874.0,575.0,28.74,9073.0,9031.0,0.0,45.0,0.0,3
Tesla C2050,NVIDIA,GPU,3515.0,493.0,35.15,0.0,0.0,0.0,238.0,0.0,0
GTX 280,NVIDIA,GPU,1181.0,121.0,11.81,0.0,0.0,649.0,236.0,0.01819722650231125,0
A100-PCIE-40GB,Nvidia,Unknown,0.0,0.0,0.0,215434.0,161590.0,0.0,0.0,0.0,3
A100-PCIE-80GB,Nvidia,Unknown,0.0,0.0,0.0,256292.0,207124.0,0.0,0.0,0.0,2
A100-SXM4-40GB,Nvidia,Unknown,0.0,0.0,0.0,237220.0,190489.0,0.0,0.0,0.0,2
A12Z,Apple,Unknown,0.0,0.0,0.0,0.0,11391.0,0.0,0.0,0.0,1
A16,Unknown,Unknown,5797.0,56.0,57.97,0.0,0.0,0.0,0.0,0.0,0
A2,Nvidia,Unknown,0.0,0.0,0.0,38140.0,37130.0,0.0,0.0,0.0,2
A30,Nvidia,Unknown,0.0,0.0,0.0,139688.0,118447.0,0.0,0.0,0.0,2
A40,Nvidia,Unknown,0.0,0.0,0.0,205120.0,185972.0,0.0,0.0,0.0,2
A40-12Q,Nvidia,Unknown,5573.0,198.0,55.73,95329.0,156643.0,0.0,0.0,0.0,2
A40-8Q,Nvidia,Unknown,0.0,0.0,0.0,183852.0,188056.0,0.0,0.0,0.0,2
A6 Micro-6500T Quad-Core APU with RadeonR4,Unknown,Unknown,220.0,127.0,2.2,0.0,0.0,0.0,0.0,0.0,0
ABIT Siluro T400,Unknown,Unknown,4.0,151.0,0.04,0.0,0.0,0.0,0.0,0.0,0
ALL-IN-WONDER 9000,Unknown,Unknown,5.0,103.0,0.05,0.0,0.0,0.0,0.0,0.0,0
ALL-IN-WONDER 9800,Unknown,Unknown,23.0,139.0,0.23,0.0,0.0,0.0,0.0,0.0,0
ALL-IN-WONDER RADEON 8500DV,Unknown,Unknown,6.0,128.0,0.06,0.0,0.0,0.0,0.0,0.0,0
ALL-IN-WONDER X800 GT,Unknown,Unknown,84.0,186.0,0.84,0.0,0.0,0.0,0.0,0.0,0
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,Unknown,Unknown,3.0,110.0,0.03,0.0,0.0,0.0,0.0,0.0,0
ASUS A7000,Unknown,Unknown,9.0,164.0,0.09,0.0,0.0,0.0,0.0,0.0,0
ASUS AGP-V3800PRO v31.40H,Unknown,Unknown,5.0,149.0,0.05,0.0,0.0,0.0,0.0,0.0,0
ASUS EAH4870x2,Unknown,Unknown,496.0,539.0,4.96,0.0,0.0,0.0,0.0,0.0,0
ASUS V9520-X V62.11,Unknown,Unknown,8.0,208.0,0.08,0.0,0.0,0.0,0.0,0.0,0
AlderLake-S Mobile Graphics Controller,Intel,Unknown,0.0,0.0,0.0,0.0,8753.0,0.0,0.0,0.0,2
All-in-Wonder X1800XL,Unknown,Unknown,30.0,283.0,0.3,0.0,0.0,0.0,0.0,0.0,0
All-in-Wonder X1900,Unknown,Unknown,127.0,445.0,1.27,0.0,0.0,0.0,0.0,0.0,0
Arc A350M Graphics,Intel,Unknown,0.0,0.0,0.0,0.0,23107.0,0.0,0.0,0.0,1
Asus GTX 650 FML II EC-EGPU,Unknown,Unknown,721.0,534.0,7.21,0.0,0.0,0.0,0.0,0.0,0
B43 Express Chipset,Unknown,Unknown,68.0,188.0,0.68,0.0,0.0,0.0,0.0,0.0,0
B8DKMDAP,Unknown,Unknown,4557.0,534.0,45.57,0.0,0.0,0.0,0.0,0.0,0
BASICDISPLAY,Unknown,Unknown,70.0,691.0,0.7,0.0,0.0,0.0,0.0,0.0,0
Barco MXRT 1450,Unknown,Unknown,206.0,520.0,2.06,0.0,0.0,0.0,0.0,0.0,0
Barco MXRT 2600,Unknown,Unknown,900.0,649.0,9.0,0.0,0.0,199.0,0.0,0.04522613065326633,0
Barco MXRT 5400,Unknown,Unknown,1161.0,457.0,11.61,0.0,0.0,203.0,0.0,0.05719211822660098,0
Barco MXRT 5450,Unknown,Unknown,1079.0,478.0,10.79,0.0,0.0,199.99,0.0,0.05395269763488174,0
Barco MXRT 5500,Unknown,Unknown,2702.0,510.0,27.02,0.0,0.0,299.0,0.0,0.09036789297658862,0
Barco MXRT 7100,Unknown,Unknown,180.0,659.0,1.8,0.0,0.0,0.0,0.0,0.0,0
Barco MXRT 7400,Unknown,Unknown,901.0,682.0,9.01,0.0,0.0,99.0,0.0,0.09101010101010101,0
Barco MXRT 7500,Unknown,Unknown,4319.0,762.0,43.19,0.0,0.0,299.0,0.0,0.14444816053511705,0
Barco MXRT 7600,Unknown,Unknown,4944.0,442.0,49.44,0.0,0.0,602.59,0.0,0.08204583547685822,0
CARRIZO 9874,Unknown,Unknown,247.0,69.0,2.47,0.0,0.0,0.0,0.0,0.0,0
CONNECT 3D RADEON X300,Unknown,Unknown,36.0,191.0,0.36,0.0,0.0,0.0,0.0,0.0,0
Citrix Indirect Display Adapter,Unknown,Unknown,4447.0,700.0,44.47,0.0,0.0,0.0,0.0,0.0,0
Coffee Lake UHD,Unknown,Unknown,1158.0,918.0,11.58,0.0,0.0,0.0,0.0,0.0,0
Custom GPU 0405,Unknown,Unknown,2832.0,489.0,28.32,0.0,0.0,0.0,0.0,0.0,0
Dell 8100,Unknown,Unknown,2.0,58.0,0.02,0.0,0.0,999.11,0.0,2.001781585611194e-05,0
Dell 8200,Unknown,Unknown,4.0,205.0,0.04,0.0,0.0,0.0,0.0,0.0,0
Device 6863,AMD,Unknown,0.0,0.0,0.0,0.0,49493.0,0.0,0.0,0.0,1
Diamond X1300-PCIE 256MB,Unknown,Unknown,70.0,286.0,0.7,0.0,0.0,0.0,0.0,0.0,0
EAH5450,Unknown,Unknown,134.0,216.0,1.34,0.0,0.0,109.99,0.0,0.012182925720520049,0
EG PARK,Unknown,Unknown,141.0,7.0,1.41,0.0,0.0,0.0,0.0,0.0,0
EIZO MED-X5000,Unknown,Unknown,3038.0,405.0,30.38,0.0,0.0,0.0,0.0,0.0,0
EIZO Quadro MED-XN51LP,Unknown,Unknown,4955.0,812.0,49.55,0.0,0.0,0.0,0.0,0.0,0
Ellesmere [RX 470/480/570/570X/580/580X/590],AMD,Unknown,0.0,0.0,0.0,0.0,49236.0,0.0,0.0,0.0,1
Embedded Radeon E9173,Unknown,Unknown,1798.0,368.0,17.98,0.0,0.0,0.0,0.0,0.0,0
Extreme AX850 PRO,Unknown,Unknown,120.0,218.0,1.2,0.0,0.0,0.0,0.0,0.0,0
Extreme Controller,Unknown,Unknown,2.0,136.0,0.02,0.0,0.0,0.0,0.0,0.0,0
Familia Q33 Express Chipset,Unknown,Unknown,10.0,168.0,0.1,0.0,0.0,0.0,0.0,0.0,0
Famille de jeu de puces Express 946GZ,Unknown,Unknown,7.0,230.0,0.07,0.0,0.0,0.0,0.0,0.0,0
Fiji [Radeon R9 FURY / NANO],AMD,Unknown,0.0,0.0,0.0,0.0,59624.0,0.0,0.0,0.0,1
FireGL T2-128,Unknown,Unknown,31.0,178.0,0.31,0.0,0.0,0.0,0.0,0.0,0
FireGL V3100,Unknown,Unknown,53.0,275.0,0.53,0.0,0.0,0.0,0.0,0.0,0
FireGL V3200,Unknown,Unknown,85.0,236.0,0.85,0.0,0.0,0.0,0.0,0.0,0
FireGL V3300,Unknown,Unknown,71.0,326.0,0.71,0.0,0.0,0.0,0.0,0.0,0
FireGL V3350,Unknown,Unknown,69.0,336.0,0.69,0.0,0.0,0.0,0.0,0.0,0
FireGL V3400,Unknown,Unknown,103.0,353.0,1.03,0.0,0.0,0.0,0.0,0.0,0
FireGL V3600,Unknown,Unknown,180.0,399.0,1.8,0.0,0.0,160.99,0.0,0.011180818684390335,0
FireGL V5100,Unknown,Unknown,93.0,250.0,0.93,0.0,0.0,114.96,0.0,0.008089770354906056,0
FireGL V5200,Unknown,Unknown,115.0,348.0,1.15,0.0,0.0,133.4,0.0,0.008620689655172412,0
FireGL V5600,Unknown,Unknown,341.0,445.0,3.41,0.0,0.0,225.0,0.0,0.015155555555555556,0
FireGL V7100,Unknown,Unknown,72.0,223.0,0.72,0.0,0.0,328.67,0.0,0.002190647153679983,0
FireGL V7200,Unknown,Unknown,116.0,348.0,1.16,0.0,0.0,0.0,0.0,0.0,0
FireGL V7300,Unknown,Unknown,128.0,322.0,1.28,0.0,0.0,1189.99,0.0,0.0010756392910864798,0
FireGL V7350,Unknown,Unknown,111.0,344.0,1.11,0.0,0.0,119.42,0.0,0.00929492547312008,0
FireGL V7600,Unknown,Unknown,616.0,488.0,6.16,0.0,0.0,0.0,0.0,0.0,0
FireGL V7700,Unknown,Unknown,660.0,422.0,6.6,0.0,0.0,69.99,0.0,0.09429918559794256,0
FireGL V8600,Unknown,Unknown,839.0,406.0,8.39,0.0,0.0,0.0,0.0,0.0,0
FireGL V8650,Unknown,Unknown,550.0,637.0,5.5,0.0,0.0,298.99,0.0,0.018395264055654035,0
FireGL X1,Unknown,Unknown,59.0,167.0,0.59,0.0,0.0,0.0,0.0,0.0,0
FireMV 2200 PCI,Unknown,Unknown,1.0,153.0,0.01,0.0,0.0,0.0,0.0,0.0,0
FireMV 2200 PCIe,Unknown,Unknown,36.0,259.0,0.36,0.0,0.0,89.99,0.0,0.004000444493832648,0
FireMV 2250,Unknown,Unknown,46.0,290.0,0.46,0.0,0.0,104.0,0.0,0.004423076923076924,0
FireMV 2260,Unknown,Unknown,117.0,488.0,1.17,0.0,0.0,88.08,15.0,0.013283378746594006,0
FireMV 2400 PCIe,Unknown,Unknown,11.0,283.0,0.11,0.0,0.0,0.0,0.0,0.0,0
FireMV 2450,Unknown,Unknown,74.0,610.0,0.74,0.0,0.0,0.0,0.0,0.0,0
FirePro 2260,Unknown,Unknown,113.0,431.0,1.13,0.0,0.0,0.0,0.0,0.0,0
FirePro 2270,Unknown,Unknown,147.0,195.0,1.47,0.0,0.0,134.0,17.0,0.010970149253731343,0
FirePro 2450,Unknown,Unknown,51.0,482.0,0.51,0.0,0.0,89.99,36.0,0.005667296366262919,0
FirePro 2460,Unknown,Unknown,170.0,352.0,1.7,0.0,0.0,83.99,17.0,0.02024050482200262,0
FirePro 3D V3700,Unknown,Unknown,179.0,466.0,1.79,0.0,0.0,84.99,32.0,0.021061301329568186,0
FirePro 3D V3750,Unknown,Unknown,341.0,467.0,3.41,0.0,0.0,50.88,48.0,0.06702044025157233,0
FirePro 3D V3800,Unknown,Unknown,472.0,507.0,4.72,0.0,0.0,149.99,43.0,0.031468764584305614,0
FirePro 3D V4800,Unknown,Unknown,854.0,324.0,8.54,0.0,0.0,159.99,69.0,0.05337833614600912,0
FirePro 3D V5700,Unknown,Unknown,547.0,517.0,5.47,0.0,0.0,319.99,58.0,0.017094284196381135,0
FirePro 3D V5800,Unknown,Unknown,1232.0,339.0,12.32,0.0,0.0,204.0,74.0,0.0603921568627451,0
FirePro 3D V7750,Unknown,Unknown,545.0,468.0,5.45,0.0,0.0,350.0,76.0,0.015571428571428571,0
FirePro 3D V7800,Unknown,Unknown,1867.0,562.0,18.67,0.0,0.0,599.99,138.0,0.031117185286421444,0
FirePro 3D V8700,Unknown,Unknown,1206.0,515.0,12.06,0.0,0.0,170.07,151.0,0.07091197742106192,0
FirePro 3D V8750,Unknown,Unknown,1272.0,542.0,12.72,0.0,0.0,1230.99,154.0,0.010333146491848025,0
FirePro 3D V8800,Unknown,Unknown,2438.0,632.0,24.38,0.0,0.0,424.99,208.0,0.05736605567189816,0
FirePro 3D V9800,Unknown,Unknown,2812.0,556.0,28.12,0.0,0.0,2499.0,225.0,0.01125250100040016,0
FirePro D300,AMD,Unknown,0.0,0.0,0.0,0.0,21243.0,0.0,0.0,0.0,3
FirePro D500,AMD,Unknown,0.0,0.0,0.0,0.0,20890.0,0.0,0.0,0.0,3
FirePro D700,AMD,Unknown,0.0,0.0,0.0,0.0,28896.0,0.0,0.0,0.0,3
FirePro M2000,Unknown,Unknown,406.0,206.0,4.06,0.0,0.0,0.0,0.0,0.0,0
FirePro M4000,AMD,Unknown,1597.0,410.0,15.97,0.0,6494.0,72.83,0.0,0.21927777014966363,1
FirePro M4000 Mobility Pro,Unknown,Unknown,1591.0,466.0,15.91,0.0,0.0,0.0,0.0,0.0,0
FirePro M40003,Unknown,Unknown,1364.0,652.0,13.64,0.0,0.0,0.0,0.0,0.0,0
FirePro M4150,AMD,Unknown,999.0,207.0,9.99,0.0,5063.0,0.0,0.0,0.0,2
FirePro M4170,AMD,Unknown,1067.0,290.0,10.67,0.0,6347.0,0.0,0.0,0.0,1
FirePro M5100,AMD,Unknown,2103.0,800.0,21.03,0.0,9305.0,0.0,0.0,0.0,2
FirePro M5100 FireGL V,Unknown,Unknown,1839.0,867.0,18.39,0.0,0.0,0.0,0.0,0.0,0
FirePro M5950,AMD,Unknown,1314.0,574.0,13.14,0.0,1505.0,0.0,0.0,0.0,1
FirePro M6000,AMD,Unknown,1820.0,776.0,18.2,0.0,9420.0,325.99,0.0,0.0558299334335409,1
FirePro M6000 Mobility Pro,Unknown,Unknown,1709.0,320.0,17.09,0.0,0.0,0.0,0.0,0.0,0
FirePro M6100,AMD,Unknown,1945.0,338.0,19.45,0.0,15612.0,0.0,0.0,0.0,2
FirePro M6100 FireGL V,Unknown,Unknown,2656.0,519.0,26.56,0.0,0.0,0.0,0.0,0.0,0
FirePro M7740,Unknown,Unknown,665.0,415.0,6.65,0.0,0.0,0.0,0.0,0.0,0
FirePro R5000,Unknown,Unknown,2647.0,625.0,26.47,0.0,0.0,109.99,0.0,0.24065824165833258,0
FirePro RG220,Unknown,Unknown,335.0,552.0,3.35,0.0,0.0,650.18,35.0,0.005152419330031684,0
FirePro S10000,AMD,Unknown,5315.0,493.0,53.15,0.0,30631.0,0.0,0.0,0.0,2
FirePro S7000,Unknown,Unknown,4166.0,615.0,41.66,0.0,0.0,246.54,150.0,0.16897866471972092,0
FirePro S7150,AMD,Unknown,6276.0,866.0,62.76,0.0,29623.0,1697.99,0.0,0.0369613484178352,2
FirePro S9000,Unknown,Unknown,5059.0,561.0,50.59,0.0,0.0,0.0,0.0,0.0,0
FirePro S9050,Unknown,Unknown,4901.0,369.0,49.01,0.0,0.0,0.0,0.0,0.0,0
FirePro S9300 x2,AMD,Unknown,0.0,0.0,0.0,0.0,27971.0,0.0,0.0,0.0,2
FirePro V,AMD,Unknown,0.0,0.0,0.0,0.0,3109.0,0.0,0.0,0.0,1
FirePro V3800,Unknown,Unknown,332.0,188.0,3.32,0.0,0.0,124.99,0.0,0.0265621249699976,0
FirePro V3900,AMD,Unknown,662.0,242.0,6.62,0.0,1395.0,238.44,50.0,0.027763798020466364,1
FirePro V4800,AMD,Unknown,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,0.0,1
FirePro V4900,AMD,Unknown,974.0,318.0,9.74,0.0,1666.0,149.99,75.0,0.06493766251083405,1
FirePro V5700,Unknown,Unknown,465.0,469.0,4.65,0.0,0.0,188.06,0.0,0.024726151228331387,0
FirePro V5800,AMD,Unknown,1186.0,339.0,11.86,0.0,2740.0,53.0,0.0,0.22377358490566038,1
FirePro V5900,AMD,Unknown,1271.0,352.0,12.71,0.0,2880.0,86.0,75.0,0.1477906976744186,1
FirePro V7000,Unknown,Unknown,3162.0,668.0,31.62,0.0,0.0,0.0,0.0,0.0,0
FirePro V7800,AMD,Unknown,2034.0,290.0,20.34,0.0,4894.0,190.0,0.0,0.10705263157894737,1
FirePro V7900,Unknown,Unknown,2310.0,324.0,23.1,0.0,0.0,190.0,150.0,0.12157894736842106,0
FirePro V8700,Unknown,Unknown,1539.0,527.0,15.39,0.0,0.0,157.88,0.0,0.09747909804915127,0
FirePro V8800,Unknown,Unknown,2223.0,471.0,22.23,0.0,0.0,198.0,0.0,0.11227272727272727,0
FirePro V9800,Unknown,Unknown,2727.0,655.0,27.27,0.0,0.0,474.0,0.0,0.05753164556962025,0
FirePro W2100,AMD,Unknown,890.0,327.0,8.9,0.0,4425.0,59.0,26.0,0.15084745762711865,1
FirePro W4100,AMD,Unknown,1541.0,535.0,15.41,0.0,6575.0,184.0,50.0,0.08375,2
FirePro W4170M,AMD,Unknown,953.0,223.0,9.53,0.0,5507.0,0.0,0.0,0.0,1
FirePro W4190M,AMD,Unknown,0.0,0.0,0.0,0.0,5705.0,0.0,0.0,0.0,1
FirePro W4300,Unknown,Unknown,2863.0,771.0,28.63,0.0,0.0,239.99,50.0,0.11929663735988999,0
FirePro W5000,AMD,Unknown,3056.0,587.0,30.56,0.0,12387.0,184.0,75.0,0.16608695652173913,2
FirePro W5100,AMD,Unknown,2957.0,541.0,29.57,0.0,13903.0,125.99,75.0,0.2347011667592666,2
FirePro W5130M,AMD,Unknown,1341.0,307.0,13.41,0.0,7779.0,0.0,0.0,0.0,2
FirePro W5170M,AMD,Unknown,0.0,0.0,0.0,0.0,8775.0,0.0,0.0,0.0,1
FirePro W600,Unknown,Unknown,1752.0,631.0,17.52,0.0,0.0,414.99,75.0,0.042217884768307665,0
FirePro W6150M,Unknown,Unknown,1515.0,314.0,15.15,0.0,0.0,0.0,0.0,0.0,0
FirePro W7000,AMD,Unknown,4276.0,551.0,42.76,0.0,21082.0,278.05,150.0,0.1537852904153929,1
FirePro W7000 Adapter,Unknown,Unknown,4340.0,692.0,43.4,0.0,0.0,0.0,0.0,0.0,0
FirePro W7100,AMD,Unknown,5175.0,667.0,51.75,0.0,26357.0,389.3,150.0,0.13293090161828924,2
FirePro W7170M,Unknown,Unknown,3162.0,418.0,31.62,0.0,0.0,0.0,0.0,0.0,0
FirePro W8000,Unknown,Unknown,4138.0,570.0,41.38,0.0,0.0,573.0,189.0,0.07221640488656196,0
FirePro W8100,AMD,Unknown,7327.0,759.0,73.27,0.0,34705.0,704.0,220.0,0.10407670454545453,1
FirePro W9000,AMD,Unknown,6138.0,720.0,61.38,0.0,31775.0,845.0,274.0,0.07263905325443787,1
FirePro W9100,AMD,Unknown,7719.0,790.0,77.19,0.0,43046.0,1729.99,275.0,0.04461875502170533,1
FireStream 9170,Unknown,Unknown,647.0,493.0,6.47,0.0,0.0,0.0,0.0,0.0,0
FireStream 9250,Unknown,Unknown,1165.0,465.0,11.65,0.0,0.0,0.0,150.0,0.0,0
FireStream 9270,Unknown,Unknown,1341.0,473.0,13.41,0.0,0.0,0.0,160.0,0.0,0
FireStream 9370,Unknown,Unknown,2528.0,763.0,25.28,0.0,0.0,0.0,225.0,0.0,0
Firepro M4100,AMD,Unknown,1059.0,623.0,10.59,0.0,5067.0,0.0,0.0,0.0,1
Firepro W4190M,Unknown,Unknown,1086.0,194.0,10.86,0.0,0.0,0.0,0.0,0.0,0
Firepro W5170M,Unknown,Unknown,1555.0,399.0,15.55,0.0,0.0,0.0,0.0,0.0,0
G33/G31 Express,Unknown,Unknown,86.0,25.0,0.86,0.0,0.0,0.0,0.0,0.0,0
G35 Express,Unknown,Unknown,3090.0,384.0,30.9,0.0,0.0,0.0,0.0,0.0,0
G41 Express Chipset,Unknown,Unknown,83.0,24.0,0.83,0.0,0.0,0.0,0.0,0.0,0
G41 Express-Chipsatz,Unknown,Unknown,57.0,267.0,0.57,0.0,0.0,0.0,0.0,0.0,0
G45/G43 Express Chipset,Unknown,Unknown,75.0,30.0,0.75,0.0,0.0,0.0,24.0,0.0,0
G45/G43/G41 Express Chipset,Unknown,Unknown,68.0,318.0,0.68,0.0,0.0,0.0,0.0,0.0,0
G965 Express,Unknown,Unknown,25.0,39.0,0.25,0.0,0.0,0.0,0.0,0.0,0
GF117,Unknown,Unknown,554.0,446.0,5.54,0.0,0.0,0.0,0.0,0.0,0
GIGABYTE RADEON 9600 PRO,Unknown,Unknown,39.0,129.0,0.39,0.0,0.0,0.0,0.0,0.0,0
GMA 3150 Express,Unknown,Unknown,3.0,66.0,0.03,0.0,0.0,0.0,0.0,0.0,0
GRID A100-1-5C MIG 1g.5gb,Nvidia,Unknown,0.0,0.0,0.0,41284.0,42750.0,0.0,0.0,0.0,2
GRID A100-2-10C MIG 2g.10gb,Nvidia,Unknown,0.0,0.0,0.0,84208.0,78806.0,0.0,0.0,0.0,2
GRID A100-4C,Nvidia,Unknown,0.0,0.0,0.0,219037.0,0.0,0.0,0.0,0.0,1
GRID A100-7-40C MIG 7g.40gb,Nvidia,Unknown,0.0,0.0,0.0,233910.0,196825.0,0.0,0.0,0.0,2
GRID GTX P40-6,Unknown,Unknown,4340.0,277.0,43.4,0.0,0.0,0.0,0.0,0.0,0
GRID K1,Nvidia,Unknown,811.0,463.0,8.11,0.0,1976.0,395.0,0.0,0.02053164556962025,1
GRID K120Q,Unknown,Unknown,293.0,278.0,2.93,0.0,0.0,0.0,0.0,0.0,0
GRID K140Q,Unknown,Unknown,728.0,457.0,7.28,0.0,0.0,0.0,0.0,0.0,0
GRID K160Q,Unknown,Unknown,628.0,262.0,6.28,0.0,0.0,0.0,0.0,0.0,0
GRID K180Q,Unknown,Unknown,534.0,113.0,5.34,0.0,0.0,0.0,0.0,0.0,0
GRID K2,Nvidia,Unknown,2737.0,319.0,27.37,0.0,8287.0,4449.99,0.0,0.006150575619271055,2
GRID K220Q,Unknown,Unknown,912.0,539.0,9.12,0.0,0.0,0.0,0.0,0.0,0
GRID K240Q,Unknown,Unknown,2541.0,212.0,25.41,0.0,0.0,0.0,0.0,0.0,0
GRID K260Q,Unknown,Unknown,2949.0,361.0,29.49,0.0,0.0,0.0,0.0,0.0,0
GRID K280Q,Unknown,Unknown,2840.0,371.0,28.4,0.0,0.0,0.0,0.0,0.0,0
GRID K520,Nvidia,Unknown,3399.0,174.0,33.99,0.0,10864.0,149.99,0.0,0.22661510767384493,1
GRID M10-0Q,Unknown,Unknown,914.0,613.0,9.14,0.0,0.0,0.0,0.0,0.0,0
GRID M10-1B,Nvidia,Unknown,2310.0,417.0,23.1,0.0,0.0,0.0,0.0,0.0,1
GRID M10-1Q,Nvidia,Unknown,3351.0,556.0,33.51,0.0,0.0,0.0,0.0,0.0,1
GRID M10-2B,Unknown,Unknown,2333.0,201.0,23.33,0.0,0.0,0.0,0.0,0.0,0
GRID M10-2Q,Unknown,Unknown,2654.0,75.0,26.54,0.0,0.0,0.0,0.0,0.0,0
GRID M10-4Q,Unknown,Unknown,3224.0,486.0,32.24,0.0,0.0,0.0,0.0,0.0,0
GRID M10-8Q,Nvidia,Unknown,2606.0,557.0,26.06,10107.0,11769.0,0.0,0.0,0.0,2
GRID M6-0B,Unknown,Unknown,912.0,764.0,9.12,0.0,0.0,0.0,0.0,0.0,0
GRID M6-1Q,Unknown,Unknown,2069.0,423.0,20.69,0.0,0.0,0.0,0.0,0.0,0
GRID M6-8Q,Unknown,Unknown,3568.0,556.0,35.68,0.0,0.0,0.0,0.0,0.0,0
GRID M60-0B,Unknown,Unknown,1838.0,596.0,18.38,0.0,0.0,0.0,0.0,0.0,0
GRID M60-0Q,Unknown,Unknown,827.0,516.0,8.27,0.0,0.0,0.0,0.0,0.0,0
GRID M60-1B,Unknown,Unknown,4457.0,483.0,44.57,0.0,0.0,0.0,0.0,0.0,0
GRID M60-1Q,Nvidia,Unknown,4251.0,211.0,42.51,0.0,0.0,0.0,0.0,0.0,1
GRID M60-2Q,Unknown,Unknown,4316.0,339.0,43.16,0.0,0.0,0.0,0.0,0.0,0
GRID M60-4Q,Unknown,Unknown,3831.0,278.0,38.31,0.0,0.0,0.0,0.0,0.0,0
GRID M60-8A,Unknown,Unknown,5523.0,380.0,55.23,0.0,0.0,0.0,0.0,0.0,0
GRID M60-8Q,Unknown,Unknown,3884.0,618.0,38.84,0.0,0.0,0.0,0.0,0.0,0
