hardware_name,manufacturer,type,fp32_tflops,memory_bandwidth_gbps,tdp_watts,price_usd,gaming_score,efficiency_tops_per_watt,price_performance_ratio,memory_compute_ratio
Data Center GPU Max 1350,Intel,GPU,44.44,2460.0,450.0,8888.0,22220.0,0.09875555555555555,0.005,55.355535553555356
HGX H20,NVIDIA,GPU,44.0,4000.0,400.0,12000.0,22000.0,0.11,0.0036666666666666666,90.9090909090909
RTX 3090 Ti,NVIDIA,GPU,40.0,1008.0,450.0,1999.0,29094.0,0.08888888888888889,0.02001000500250125,25.2
RTX A6000,NVIDIA,GPU,38.7,768.0,300.0,4649.0,22122.0,0.129,0.008324370832437084,19.844961240310077
A40 PCIe,NVIDIA,GPU,37.42,695.8,300.0,7484.0,18710.0,0.12473333333333333,0.005,18.594334580438264
RTX 3090,NVIDIA,GPU,35.58,936.0,350.0,1499.0,26395.0,0.10165714285714285,0.02373582388258839,26.30691399662732
Baidu Kunlun R200-8F (160W),Kunlunxin Baidu,XPU-R,32.0,512.0,160.0,6400.0,16000.0,0.2,0.005,16.0
Baidu Kunlun RG800,Kunlunxin Baidu,XPU-R,32.0,512.0,130.0,6400.0,16000.0,0.24615384615384617,0.005,16.0
Baidu Kunlun R200 (150W),Kunlunxin Baidu,XPU-R,32.0,512.0,150.0,6400.0,16000.0,0.21333333333333335,0.005,16.0
Tianshu Zhixin Tiangai 100 (BI-V100),Iluvatar CoreX,GPGPU,32.0,480.0,250.0,6400.0,16000.0,0.128,0.005,15.0
A10G,NVIDIA,GPU,31.5,600.2,150.0,6300.0,15750.0,0.21,0.005,19.053968253968254
A10 PCIe,NVIDIA,GPU,31.24,600.2,150.0,2800.0,15620.0,0.20826666666666666,0.011157142857142857,19.21254801536492
L4,NVIDIA,GPU,30.29,300.1,72.0,6058.0,15145.0,0.4206944444444444,0.005,9.907560250907892
RTX 3080,NVIDIA,GPU,29.77,760.0,320.0,699.0,24853.0,0.09303125,0.04258941344778255,25.529056096741687
RTX 4070,NVIDIA,GPU,29.15,504.2,285.0,5830.0,14575.0,0.10228070175438596,0.005,17.296740994854204
RTX A5000,NVIDIA,GPU,27.77,768.0,230.0,2250.0,22867.0,0.12073913043478261,0.012342222222222221,27.6557436082103
Sunway SW26010-Pro,Sunway,,27.6,307.2,552.0,5520.0,13800.0,0.05,0.005,11.130434782608695
MTT S4000,Moore Threads (Tencent),GPU,25.0,768.0,450.0,5000.0,12500.0,0.05555555555555555,0.005,30.72
L2 PCle,NVIDIA,GPU,24.1,300.0,482.0,4820.0,12050.0,0.05,0.005,12.448132780082986
Cambricon MLU370-X8,Cambricon,,24.0,614.4,250.0,4800.0,12000.0,0.096,0.005,25.599999999999998
Cambricon MLU370-X4,Cambricon,,24.0,307.2,150.0,4800.0,12000.0,0.16,0.005,12.799999999999999
Tianshu Zhixin Zhikai 100,Iluvatar CoreX,GPU,24.0,360.0,480.0,4800.0,12000.0,0.05,0.005,15.0
Tesla D1 Dojo,Tesla,GPU,22.6,10000.0,400.0,4520.0,11300.0,0.0565,0.005,442.4778761061947
Data Center GPU Max 1100,Intel,GPU,22.22,1230.0,300.0,4444.0,11110.0,0.07406666666666667,0.005,55.355535553555356
Baidu Kunlun R100 (100W),Kunlunxin Baidu,XPU-R,20.0,384.0,100.0,4000.0,10000.0,0.2,0.005,19.2
A100,NVIDIA,GPU,19.5,1560.0,400.0,3900.0,9750.0,0.04875,0.005,80.0
A800 SXM,NVIDIA,GPU,19.49,2040.0,400.0,3897.9999999999995,9745.0,0.048725,0.005,104.66906105695229
A800 PCIe 80 GB,NVIDIA,GPU,19.49,1940.0,250.0,3897.9999999999995,9745.0,0.07795999999999999,0.005,99.5382247306311
A800 PCIe 40 GB,NVIDIA,GPU,19.49,1560.0,250.0,3897.9999999999995,9745.0,0.07795999999999999,0.005,80.04104669061057
A100 SXM4 40 GB,NVIDIA,GPU,19.49,1560.0,400.0,15000.0,9745.0,0.048725,0.0012993333333333333,80.04104669061057
A100 SXM4 80 GB,NVIDIA,GPU,19.49,2039.0,400.0,3897.9999999999995,9745.0,0.048725,0.005,104.61775269368908
A100 PCIe,NVIDIA,GPU,19.49,1940.0,300.0,3897.9999999999995,9745.0,0.06496666666666666,0.005,99.5382247306311
RTX A4000,NVIDIA,GPU,19.17,448.0,140.0,1000.0,18988.0,0.13692857142857143,0.019170000000000003,23.369848721961397
Cambricon MLU370-S4/S8,Cambricon,,18.0,307.2,75.0,3600.0,9000.0,0.24,0.005,17.066666666666666
Cambricon MLU370-S4,Cambricon,,18.0,307.2,75.0,3600.0,9000.0,0.24,0.005,17.066666666666666
Baidu Kunlun R100 (75W),Kunlunxin Baidu,XPU-R,18.0,384.0,75.0,3600.0,9000.0,0.24,0.005,21.333333333333332
MetaX MXC500 (OAM),MetaX,GPGPU,18.0,18000.0,450.0,3600.0,9000.0,0.04,0.005,1000.0
Cambricon MLU370-S8,Cambricon,,18.0,307.2,75.0,3600.0,9000.0,0.24,0.005,17.066666666666666
Tesla V100S PCIe 32 GB,NVIDIA,GPU,16.35,1130.0,250.0,3270.0000000000005,8175.000000000001,0.0654,0.005,69.11314984709479
Quadro RTX 6000,NVIDIA,GPU,16.3099999999999,672.0,260.0,6300.0,19692.0,0.06273076923076884,0.002588888888888873,41.20171673819768
Quadro RTX 8000,NVIDIA,GPU,16.3,672.0,260.0,3260.0,19126.0,0.0626923076923077,0.005,41.22699386503067
Tesla V100 DGXS 16 GB,NVIDIA,GPU,16.2,897.0,250.0,3240.0,8100.0,0.0648,0.005,55.370370370370374
Baidu Kunlun K200,Kunlunxin Baidu,XPU,16.0,512.0,150.0,3200.0,8000.0,0.10666666666666667,0.005,32.0
Baidu Kunlun I,Kunlunxin Baidu,XPU,16.0,512.0,150.0,3200.0,8000.0,0.10666666666666667,0.005,32.0
Tesla V100 SXM2 16 GB,NVIDIA,GPU,15.67,897.0,300.0,3134.0,7835.0,0.05223333333333333,0.005,57.243139757498405
Tesla V100 SXM2 32 GB,NVIDIA,GPU,15.67,898.0,300.0,11458.0,7835.0,0.05223333333333333,0.0013676034211904345,57.30695596681557
Tesla V100 SXM3 32 GB,NVIDIA,GPU,15.67,898.0,300.0,3134.0,7835.0,0.05223333333333333,0.005,57.30695596681557
V100,NVIDIA,GPU,15.67,897.0,300.0,3134.0,7835.0,0.05223333333333333,0.005,57.243139757498405
Tesla V100 DGXS 32 GB,NVIDIA,GPU,15.67,897.0,250.0,3134.0,7835.0,0.06268,0.005,57.243139757498405
Tesla V100 SXM2,NVIDIA,GPU,15.67,897.0,300.0,11500.0,7835.0,0.05223333333333333,0.0013626086956521738,57.243139757498405
MetaX MXC500 (PCIe),MetaX,GPGPU,15.0,18000.0,350.0,3000.0,7500.0,0.04285714285714286,0.005,1200.0
Titan V,NVIDIA,GPU,14.9,651.0,250.0,2999.0,18816.0,0.0596,0.004968322774258086,43.691275167785236
Habana Gaudi3,Intel,,14.3,3700.0,900.0,2860.0,7150.0,0.01588888888888889,0.005,258.7412587412587
Tesla V100 PCIe 32 GB,NVIDIA,GPU,14.13,897.0,250.0,11458.0,7065.0,0.05652,0.0012331995112585094,63.481953290870486
Tesla V100 PCIe 16 GB,NVIDIA,GPU,14.13,897.0,250.0,10664.0,7065.0,0.05652,0.0013250187546886723,63.481953290870486
RTX 2080 Ti 11GB,NVIDIA,GPU,13.45,616.0,250.0,999.0,6725.0,0.0538,0.013463463463463462,45.79925650557621
Quadro P6000,NVIDIA,GPU,12.63,433.0,250.0,5999.0,15811.0,0.05052,0.002105350891815303,34.283452098178934
Titan Xp,NVIDIA,GPU,12.15,548.0,250.0,1199.0,18894.0,0.048600000000000004,0.010133444537114263,45.10288065843621
P40,NVIDIA,GPU,11.76,694.3,250.0,5699.0,5880.0,0.04704,0.002063519915774697,59.0391156462585
GTX 1080 Ti,NVIDIA,GPU,11.34,484.0,250.0,699.0,18284.0,0.04536,0.016223175965665235,42.68077601410935
Quadro RTX 5000,NVIDIA,GPU,11.15,448.0,230.0,2300.0,16260.0,0.04847826086956522,0.004847826086956522,40.17937219730941
Tesla P100 DGXS,NVIDIA,GPU,10.61,159.14999999999998,300.0,2122.0,5305.0,0.035366666666666664,0.005,14.999999999999998
Tesla P100 SXM2,NVIDIA,GPU,10.61,159.14999999999998,300.0,2122.0,5305.0,0.035366666666666664,0.005,14.999999999999998
TESLA M60,NVIDIA,GPU,9.65,320.8,300.0,1930.0,4825.0,0.03216666666666667,0.005,33.24352331606217
P100 PCIe 16GB,NVIDIA,GPU,9.56,732.0,250.0,1912.0,4780.0,0.03824,0.005,76.56903765690376
Tesla P100 PCIe 16GB,NVIDIA,GPU,9.526,732.2,250.0,1905.2,4763.0,0.038104,0.005,76.86332143606971
Tesla P100 PCIe 12GB,NVIDIA,GPU,9.526,549.1,250.0,1905.2,4763.0,0.038104,0.005,57.64224228427462
P100,NVIDIA,GPU,9.3,732.0,250.0,5699.0,4650.0,0.037200000000000004,0.0016318652395157047,78.70967741935483
Quadro P5000,NVIDIA,GPU,8.873,288.0,180.0,2499.0,11976.0,0.04929444444444444,0.0035506202480992395,32.458018708441344
GTX 1080,NVIDIA,GPU,8.873,320.3,180.0,599.0,15265.0,0.04929444444444444,0.014813021702838063,36.09827566775612
PEZY-SC2,PEZY,,8.192,102.37718675,180.0,1638.4,4096.0,0.04551111111111111,0.005,12.49721517944336
Tesla T4,NVIDIA,GPU,8.141,320.0,70.0,1628.2,11113.0,0.1163,0.005,39.30721041641076
Tesla K80,NVIDIA,GPU,8.126,241.0,300.0,5000.0,4062.9999999999995,0.027086666666666665,0.0016251999999999998,29.657888259906475
Quadro RTX 4000,NVIDIA,GPU,7.119,416.0,160.0,899.0,15515.0,0.04449375,0.007918798665183536,58.435173479421266
M40,NVIDIA,GPU,6.832,288.0,250.0,10799.0,3416.0,0.027327999999999998,0.0006326511714047597,42.15456674473068
GTX Titan X,NVIDIA,GPU,6.691,336.6,250.0,999.0,13173.0,0.026764,0.006697697697697697,50.306381706770296
Tesla P4,NVIDIA,GPU,5.704,192.3,75.0,1140.8,2852.0,0.07605333333333333,0.005,33.71318373071529
GTX Titan Black,NVIDIA,GPU,5.645,336.0,250.0,999.0,9140.0,0.02258,0.00565065065065065,59.52170062001772
Quadro P4000,NVIDIA,GPU,5.304,243.4,105.0,815.0,11422.0,0.05051428571428572,0.0065079754601226995,45.88989441930618
Quadro K6000,NVIDIA,GPU,5.196,288.0,225.0,5265.0,8108.0,0.023093333333333334,0.0009868945868945868,55.42725173210162
Tesla K40s,NVIDIA,GPU,5.046,288.0,245.0,7699.0,2523.0,0.02059591836734694,0.0006554097934796727,57.07491082045184
Tesla K40t,NVIDIA,GPU,5.046,288.4,245.0,7699.0,2523.0,0.02059591836734694,0.0006554097934796727,57.154181529924685
GTX 980,NVIDIA,GPU,4.981,224.4,165.0,549.0,11237.0,0.030187878787878788,0.009072859744990893,45.051194539249146
MT-2000,National University of Defense Technology,,4.92,153.652,240.0,984.0,2460.0,0.0205,0.005,31.230081300813005
GTX Titan,NVIDIA,GPU,4.709,288.4,250.0,999.0,8556.0,0.018836,0.004713713713713714,61.24442556806116
GTX 780,NVIDIA,GPU,4.156,288.4,250.0,649.0,8022.0,0.016624,0.006403697996918335,69.39364773820982
Tesla K20X,NVIDIA,GPU,3.935,59.025,235.0,7699.0,1967.5,0.01674468085106383,0.0005111053383556306,15.0
Tesla K20c,NVIDIA,GPU,3.52,208.0,225.0,3199.0,1760.0,0.015644444444444443,0.0011003438574554549,59.09090909090909
Google TPU v2,Google,TPU,3.0,600.0,280.0,600.0,1500.0,0.010714285714285714,0.005,200.0
Meta MTIA v2,Meta,Other,2.76,1000.0,90.0,552.0,1380.0,0.030666666666666665,0.004999999999999999,362.3188405797102
Quadro M4000,NVIDIA,GPU,2.573,192.0,120.0,514.6,6644.0,0.021441666666666668,0.005,74.62106490478041
Meta MTIA v1,Meta,Other,1.6,800.0,25.0,320.0,800.0,0.064,0.005,500.0
GTX 580,NVIDIA,GPU,1.581,192.4,244.0,499.0,4538.0,0.006479508196721311,0.0031683366733466934,121.69512966476914
Quadro K4000,NVIDIA,GPU,1.244,134.8,80.0,1269.0,2700.0,0.01555,0.0009802994483845548,108.36012861736336
Quadro P600,NVIDIA,GPU,1.196,64.13,40.0,178.0,3324.0,0.0299,0.006719101123595505,53.62040133779264
Quadro K1200,NVIDIA,GPU,1.151,80.0,45.0,230.20000000000002,2874.0,0.02557777777777778,0.005,69.50477845351868
Tesla C2050,NVIDIA,GPU,1.028,15.42,238.0,205.6,3515.0,0.004319327731092437,0.005,15.0
GTX 280,NVIDIA,GPU,0.6221,141.1,236.0,649.0,1181.0,0.0026360169491525423,0.0009585516178736517,226.8124095804533
