hardware_name,unified_manufacturer,type,performance_tier,fp32_tflops,memory_bandwidth_gbps,unified_tdp,unified_price,tops_per_watt_fp32,memory_compute_ratio,tflops_per_dollar
RTX A4000,NVIDIA,GPU,Mid-Range,19.17,448.0,140.0,1000.0,0.1369285714285714,23.3698487219614,0.01917
Quadro RTX 6000,NVIDIA,GPU,Mid-Range,16.3099999999999,672.0,260.0,6300.0,0.0627307692307688,41.20171673819768,0.0025888888888888
Tesla V100 SXM2 32 GB,NVIDIA,GPU,Mid-Range,15.67,898.0,300.0,11458.0,0.0522333333333333,57.30695596681557,0.0013676034211904
Tesla V100 SXM2,NVIDIA,GPU,Mid-Range,15.67,897.0,300.0,11500.0,0.0522333333333333,57.243139757498405,0.0013626086956521
Titan V,NVIDIA,GPU,Mid-Range,14.9,651.0,250.0,2999.0,0.0596,43.69127516778524,0.004968322774258
Tesla V100 PCIe 32 GB,NVIDIA,GPU,Mid-Range,14.13,897.0,250.0,11458.0,0.05652,63.481953290870486,0.0012331995112585
Tesla V100 PCIe 16 GB,NVIDIA,GPU,Mid-Range,14.13,897.0,250.0,10664.0,0.05652,63.481953290870486,0.0013250187546886
RTX 2080 Ti 11GB,NVIDIA,GPU,Mid-Range,13.45,616.0,250.0,999.0,0.0538,45.79925650557621,0.0134634634634634
Quadro P6000,NVIDIA,GPU,Mid-Range,12.63,433.0,250.0,5999.0,0.05052,34.283452098178934,0.0021053508918153
Titan Xp,NVIDIA,GPU,Mid-Range,12.15,548.0,250.0,1199.0,0.0486,45.10288065843621,0.0101334445371142
P40,NVIDIA,GPU,Mid-Range,11.76,694.3,250.0,5699.0,0.04704,59.0391156462585,0.0020635199157746
GTX 1080 Ti,NVIDIA,GPU,Mid-Range,11.34,484.0,250.0,699.0,0.04536,42.68077601410935,0.0162231759656652
Quadro RTX 5000,NVIDIA,GPU,Mid-Range,11.15,448.0,230.0,2300.0,0.0484782608695652,40.17937219730941,0.0048478260869565
P100,NVIDIA,GPU,Entry-Level,9.3,732.0,250.0,5699.0,0.0372,78.70967741935483,0.0016318652395157
Quadro P5000,NVIDIA,GPU,Entry-Level,8.873,288.0,180.0,2499.0,0.0492944444444444,32.458018708441344,0.0035506202480992
GTX 1080,NVIDIA,GPU,Entry-Level,8.873,320.3,180.0,599.0,0.0492944444444444,36.09827566775612,0.014813021702838
Tesla K80,NVIDIA,GPU,Entry-Level,8.126,241.0,300.0,5000.0,0.0270866666666666,29.657888259906475,0.0016251999999999
Quadro RTX 4000,NVIDIA,GPU,Entry-Level,7.119,416.0,160.0,899.0,0.04449375,58.43517347942127,0.0079187986651835
M40,NVIDIA,GPU,Entry-Level,6.832,288.0,250.0,10799.0,0.0273279999999999,42.15456674473068,0.0006326511714047
GTX Titan X,NVIDIA,GPU,Entry-Level,6.691,336.6,250.0,999.0,0.026764,50.306381706770296,0.0066976976976976
GTX Titan Black,NVIDIA,GPU,Entry-Level,5.645,336.0,250.0,999.0,0.02258,59.52170062001772,0.0056506506506506
Quadro P4000,NVIDIA,GPU,Entry-Level,5.304,243.4,105.0,815.0,0.0505142857142857,45.88989441930618,0.0065079754601226
Quadro K6000,NVIDIA,GPU,Entry-Level,5.196,288.0,225.0,5265.0,0.0230933333333333,55.42725173210162,0.0009868945868945
Tesla K40s,NVIDIA,GPU,Entry-Level,5.046,288.0,245.0,7699.0,0.0205959183673469,57.07491082045184,0.0006554097934796
Tesla K40t,NVIDIA,GPU,Entry-Level,5.046,288.4,245.0,7699.0,0.0205959183673469,57.154181529924685,0.0006554097934796
GTX 980,NVIDIA,GPU,Legacy,4.981,224.4,165.0,549.0,0.0301878787878787,45.051194539249146,0.0090728597449908
GTX Titan,NVIDIA,GPU,Legacy,4.709,288.4,250.0,999.0,0.018836,61.24442556806116,0.0047137137137137
GTX 780,NVIDIA,GPU,Legacy,4.156,288.4,250.0,649.0,0.016624,69.39364773820982,0.0064036979969183
Tesla K20c,NVIDIA,GPU,Legacy,3.52,208.0,225.0,3199.0,0.0156444444444444,59.09090909090909,0.0011003438574554
GTX 580,NVIDIA,GPU,Legacy,1.581,192.4,244.0,499.0,0.0064795081967213,121.69512966476914,0.0031683366733466
Quadro K4000,NVIDIA,GPU,Legacy,1.244,134.8,80.0,1269.0,0.01555,108.36012861736336,0.0009802994483845
Quadro P600,NVIDIA,GPU,Legacy,1.196,64.13,40.0,178.0,0.0299,53.62040133779264,0.0067191011235955
GTX 280,NVIDIA,GPU,Legacy,0.6221,141.1,236.0,649.0,0.0026360169491525,226.8124095804533,0.0009585516178736
