hardware_name,unified_manufacturer,type,performance_tier,fp32_tflops,unified_tdp,process_nm,tops_per_watt_fp32,tops_per_watt_int8
Tesla V100 SXM2 16 GB,NVIDIA,GPU,Mid-Range,15.67,300.0,12.0,0.0522333333333333,0.0
Tesla V100 SXM2 32 GB,NVIDIA,GPU,Mid-Range,15.67,300.0,12.0,0.0522333333333333,0.0
Tesla V100 SXM3 32 GB,NVIDIA,GPU,Mid-Range,15.67,300.0,12.0,0.0522333333333333,0.0
V100,NVIDIA,GPU,Mid-Range,15.67,300.0,12.0,0.0522333333333333,0.0
Tesla V100 DGXS 32 GB,NVIDIA,GPU,Mid-Range,15.67,250.0,12.0,0.06268,0.0
Tesla V100 SXM2,NVIDIA,GPU,Mid-Range,15.67,300.0,12.0,0.0522333333333333,0.0
MetaX MXC500 (PCIe),MetaX,GPGPU,Mid-Range,15.0,350.0,7.0,0.0428571428571428,1.3714285714285714
Titan V,NVIDIA,GPU,Mid-Range,14.9,250.0,12.0,0.0596,0.0
Habana Gaudi3,Intel,Unknown,Mid-Range,14.3,900.0,5.0,0.0158888888888888,0.0
Tesla V100 PCIe 32 GB,NVIDIA,GPU,Mid-Range,14.13,250.0,12.0,0.05652,0.0
Tesla V100 PCIe 16 GB,NVIDIA,GPU,Mid-Range,14.13,250.0,12.0,0.05652,0.0
RTX 2080 Ti 11GB,NVIDIA,GPU,Mid-Range,13.45,250.0,12.0,0.0538,0.9108
Quadro P6000,NVIDIA,GPU,Mid-Range,12.63,250.0,16.0,0.05052,0.0
Titan Xp,NVIDIA,GPU,Mid-Range,12.15,250.0,16.0,0.0486,0.0
P40,NVIDIA,GPU,Mid-Range,11.76,250.0,0.0,0.04704,0.0
GTX 1080 Ti,NVIDIA,GPU,Mid-Range,11.34,250.0,16.0,0.04536,0.0
Quadro RTX 5000,NVIDIA,GPU,Mid-Range,11.15,230.0,12.0,0.0484782608695652,0.0
Tesla P100 DGXS,NVIDIA,GPU,Mid-Range,10.61,300.0,16.0,0.0353666666666666,0.0
Tesla P100 SXM2,NVIDIA,GPU,Mid-Range,10.61,300.0,16.0,0.0353666666666666,0.0
TESLA M60,NVIDIA,GPU,Entry-Level,9.65,300.0,28.0,0.0321666666666666,0.0
P100 PCIe 16GB,NVIDIA,GPU,Entry-Level,9.56,250.0,16.0,0.03824,0.0
Tesla P100 PCIe 16GB,NVIDIA,GPU,Entry-Level,9.526,250.0,16.0,0.038104,0.0
Tesla P100 PCIe 12GB,NVIDIA,GPU,Entry-Level,9.526,250.0,16.0,0.038104,0.0
P100,NVIDIA,GPU,Entry-Level,9.3,250.0,16.0,0.0372,0.0
Quadro P5000,NVIDIA,GPU,Entry-Level,8.873,180.0,16.0,0.0492944444444444,0.0
GTX 1080,NVIDIA,GPU,Entry-Level,8.873,180.0,16.0,0.0492944444444444,0.0
PEZY-SC2,PEZY,Unknown,Entry-Level,8.192,180.0,16.0,0.0455111111111111,0.0
Tesla T4,NVIDIA,GPU,Entry-Level,8.141,70.0,12.0,0.1163,0.0
Tesla K80,NVIDIA,GPU,Entry-Level,8.126,300.0,28.0,0.0270866666666666,0.0
Quadro RTX 4000,NVIDIA,GPU,Entry-Level,7.119,160.0,12.0,0.04449375,0.0
M40,NVIDIA,GPU,Entry-Level,6.832,250.0,0.0,0.0273279999999999,0.0
GTX Titan X,NVIDIA,GPU,Entry-Level,6.691,250.0,28.0,0.026764,0.0
Tesla P4,NVIDIA,GPU,Entry-Level,5.704,75.0,16.0,0.0760533333333333,0.2933333333333333
GTX Titan Black,NVIDIA,GPU,Entry-Level,5.645,250.0,0.0,0.02258,0.0
Quadro P4000,NVIDIA,GPU,Entry-Level,5.304,105.0,16.0,0.0505142857142857,0.0
Quadro K6000,NVIDIA,GPU,Entry-Level,5.196,225.0,28.0,0.0230933333333333,0.0
Tesla K40s,NVIDIA,GPU,Entry-Level,5.046,245.0,28.0,0.0205959183673469,0.0
Tesla K40t,NVIDIA,GPU,Entry-Level,5.046,245.0,28.0,0.0205959183673469,0.0
GTX 980,NVIDIA,GPU,Legacy,4.981,165.0,28.0,0.0301878787878787,0.0
MT-2000,National University of Defense Technology,Unknown,Legacy,4.92,240.0,0.0,0.0205,0.0
GTX Titan,NVIDIA,GPU,Legacy,4.709,250.0,28.0,0.018836,0.0
GTX 780,NVIDIA,GPU,Legacy,4.156,250.0,28.0,0.016624,0.0
Tesla K20X,NVIDIA,GPU,Legacy,3.935,235.0,28.0,0.0167446808510638,0.0
Tesla K20c,NVIDIA,GPU,Legacy,3.52,225.0,28.0,0.0156444444444444,0.0
Google TPU v2,Google,TPU,Legacy,3.0,280.0,16.0,0.0107142857142857,0.0
Meta MTIA v2,Meta,Other,Legacy,2.76,90.0,5.0,0.0306666666666666,3.933333333333333
Quadro M4000,NVIDIA,GPU,Legacy,2.573,120.0,28.0,0.0214416666666666,0.0
Meta MTIA v1,Meta,Other,Legacy,1.6,25.0,7.0,0.064,4.096
GTX 580,NVIDIA,GPU,Legacy,1.581,244.0,40.0,0.0064795081967213,0.0
Quadro K4000,NVIDIA,GPU,Legacy,1.244,80.0,28.0,0.01555,0.0
Quadro P600,NVIDIA,GPU,Legacy,1.196,40.0,14.0,0.0299,0.0
Quadro K1200,NVIDIA,GPU,Legacy,1.151,45.0,28.0,0.0255777777777777,0.0
Tesla C2050,NVIDIA,GPU,Legacy,1.028,238.0,40.0,0.0043193277310924,0.0
GTX 280,NVIDIA,GPU,Legacy,0.6221,236.0,65.0,0.0026360169491525,0.0
