hardware_name,unified_manufacturer,type,performance_tier,fp32_tflops,fp16_tflops,int8_tops,unified_tdp,tops_per_watt_fp32,fp16_fp32_ratio,int8_fp32_ratio
RTX A6000,NVIDIA,GPU,High-Performance,38.7,38.7,0.0,300.0,0.129,1.0,0.0
A40 PCIe,NVIDIA,GPU,High-Performance,37.42,37.42,299.3,300.0,0.12473333333333333,1.0,7.998396579369321
RTX 3090,NVIDIA,GPU,High-Performance,35.58,35.58,284.0,350.0,0.10165714285714285,1.0,7.982012366498033
Baidu Kunlun R200-8F (160W),Kunlunxin Baidu,XPU-R,High-Performance,32.0,128.0,256.0,160.0,0.2,4.0,8.0
Baidu Kunlun RG800,Kunlunxin Baidu,XPU-R,High-Performance,32.0,128.0,256.0,130.0,0.24615384615384617,4.0,8.0
Baidu Kunlun R200 (150W),Kunlunxin Baidu,XPU-R,High-Performance,32.0,128.0,256.0,150.0,0.21333333333333335,4.0,8.0
Tianshu Zhixin Tiangai 100 (BI-V100),Iluvatar CoreX,GPGPU,High-Performance,32.0,128.0,256.0,250.0,0.128,4.0,8.0
A10G,NVIDIA,GPU,High-Performance,31.5,31.5,0.0,150.0,0.21,1.0,0.0
A10 PCIe,NVIDIA,GPU,High-Performance,31.24,31.24,250.0,150.0,0.20826666666666666,1.0,8.002560819462229
L4,NVIDIA,GPU,High-Performance,30.29,30.29,242.0,72.0,0.4206944444444444,1.0,7.989435457246616
RTX 3080,NVIDIA,GPU,High-Performance,29.77,29.77,0.0,320.0,0.09303125,1.0,0.0
RTX 4070,NVIDIA,GPU,High-Performance,29.15,29.15,233.0,285.0,0.10228070175438596,1.0,7.993138936535163
RTX A5000,NVIDIA,GPU,High-Performance,27.77,27.77,0.0,230.0,0.12073913043478261,1.0,0.0
MTT S4000,Moore Threads (Tencent),GPU,High-Performance,25.0,49.15,200.0,450.0,0.05555555555555555,1.966,8.0
Cambricon MLU370-X8,Cambricon,Unknown,High-Performance,24.0,96.0,256.0,250.0,0.096,4.0,10.666666666666666
Cambricon MLU370-X4,Cambricon,Unknown,High-Performance,24.0,96.0,256.0,150.0,0.16,4.0,10.666666666666666
Tesla D1 Dojo,Tesla,GPU,High-Performance,22.6,0.0,0.0,400.0,0.0565,0.0,0.0
Data Center GPU Max 1100,Intel,GPU,High-Performance,22.22,22.22,0.0,300.0,0.07406666666666667,1.0,0.0
Baidu Kunlun R100 (100W),Kunlunxin Baidu,XPU-R,High-Performance,20.0,85.0,170.0,100.0,0.2,4.25,8.5
A100,NVIDIA,GPU,Mid-Range,19.5,77.97,624.0,400.0,0.04875,3.9984615384615383,32.0
A800 SXM,NVIDIA,GPU,Mid-Range,19.49,77.97,0.0,400.0,0.048725,4.000513083632632,0.0
A800 PCIe 80 GB,NVIDIA,GPU,Mid-Range,19.49,77.97,0.0,250.0,0.07795999999999999,4.000513083632632,0.0
A800 PCIe 40 GB,NVIDIA,GPU,Mid-Range,19.49,77.97,0.0,250.0,0.07795999999999999,4.000513083632632,0.0
A100 SXM4 40 GB,NVIDIA,GPU,Mid-Range,19.49,77.97,624.0,400.0,0.048725,4.000513083632632,32.01641867624423
A100 SXM4 80 GB,NVIDIA,GPU,Mid-Range,19.49,77.97,624.0,400.0,0.048725,4.000513083632632,32.01641867624423
A100 PCIe,NVIDIA,GPU,Mid-Range,19.49,77.97,624.0,300.0,0.06496666666666666,4.000513083632632,32.01641867624423
RTX A4000,NVIDIA,GPU,Mid-Range,19.17,19.17,0.0,140.0,0.13692857142857143,1.0,0.0
Cambricon MLU370-S4/S8,Cambricon,Unknown,Mid-Range,18.0,72.0,192.0,75.0,0.24,4.0,10.666666666666666
Cambricon MLU370-S4,Cambricon,Unknown,Mid-Range,18.0,72.0,192.0,75.0,0.24,4.0,10.666666666666666
Baidu Kunlun R100 (75W),Kunlunxin Baidu,XPU-R,Mid-Range,18.0,64.0,128.0,75.0,0.24,3.5555555555555554,7.111111111111111
MetaX MXC500 (OAM),MetaX,GPGPU,Mid-Range,18.0,280.0,560.0,450.0,0.04,15.555555555555555,31.11111111111111
Cambricon MLU370-S8,Cambricon,Unknown,Mid-Range,18.0,72.0,192.0,75.0,0.24,4.0,10.666666666666666
Tesla V100S PCIe 32 GB,NVIDIA,GPU,Mid-Range,16.35,32.71,0.0,250.0,0.0654,2.000611620795107,0.0
Quadro RTX 6000,NVIDIA,GPU,Mid-Range,16.3099999999999,32.62,0.0,260.0,0.06273076923076884,2.000000000000012,0.0
Quadro RTX 8000,NVIDIA,GPU,Mid-Range,16.3,32.62,0.0,260.0,0.0626923076923077,2.0012269938650302,0.0
Tesla V100 DGXS 16 GB,NVIDIA,GPU,Mid-Range,16.2,32.4,0.0,250.0,0.0648,2.0,0.0
Baidu Kunlun K200,Kunlunxin Baidu,XPU,Mid-Range,16.0,64.0,256.0,150.0,0.10666666666666667,4.0,16.0
Baidu Kunlun I,Kunlunxin Baidu,XPU,Mid-Range,16.0,64.0,256.0,150.0,0.10666666666666667,4.0,16.0
Tesla V100 SXM2 16 GB,NVIDIA,GPU,Mid-Range,15.67,31.33,0.0,300.0,0.05223333333333333,1.9993618379068283,0.0
Tesla V100 SXM2 32 GB,NVIDIA,GPU,Mid-Range,15.67,31.33,0.0,300.0,0.05223333333333333,1.9993618379068283,0.0
Tesla V100 SXM3 32 GB,NVIDIA,GPU,Mid-Range,15.67,31.33,0.0,300.0,0.05223333333333333,1.9993618379068283,0.0
V100,NVIDIA,GPU,Mid-Range,15.67,31.33,0.0,300.0,0.05223333333333333,1.9993618379068283,0.0
Tesla V100 DGXS 32 GB,NVIDIA,GPU,Mid-Range,15.67,31.33,0.0,250.0,0.06268,1.9993618379068283,0.0
Tesla V100 SXM2,NVIDIA,GPU,Mid-Range,15.67,31.33,0.0,300.0,0.05223333333333333,1.9993618379068283,0.0
MetaX MXC500 (PCIe),MetaX,GPGPU,Mid-Range,15.0,240.0,480.0,350.0,0.04285714285714286,16.0,32.0
Titan V,NVIDIA,GPU,Mid-Range,14.9,29.8,0.0,250.0,0.0596,2.0,0.0
Habana Gaudi3,Intel,Unknown,Mid-Range,14.3,28.7,0.0,900.0,0.01588888888888889,2.0069930069930066,0.0
Tesla V100 PCIe 32 GB,NVIDIA,GPU,Mid-Range,14.13,28.26,0.0,250.0,0.05652,2.0,0.0
Tesla V100 PCIe 16 GB,NVIDIA,GPU,Mid-Range,14.13,28.26,0.0,250.0,0.05652,2.0,0.0
RTX 2080 Ti 11GB,NVIDIA,GPU,Mid-Range,13.45,26.9,227.7,250.0,0.0538,2.0,16.929368029739777
Quadro P6000,NVIDIA,GPU,Mid-Range,12.63,0.1974,0.0,250.0,0.05052,0.01562945368171021,0.0
Titan Xp,NVIDIA,GPU,Mid-Range,12.15,0.1898,0.0,250.0,0.048600000000000004,0.015621399176954731,0.0
P40,NVIDIA,GPU,Mid-Range,11.76,0.1837,0.0,250.0,0.04704,0.015620748299319729,0.0
GTX 1080 Ti,NVIDIA,GPU,Mid-Range,11.34,0.1772,0.0,250.0,0.04536,0.015626102292768958,0.0
Quadro RTX 5000,NVIDIA,GPU,Mid-Range,11.15,22.3,0.0,230.0,0.04847826086956522,2.0,0.0
Tesla P100 DGXS,NVIDIA,GPU,Mid-Range,10.61,21.22,0.0,300.0,0.035366666666666664,2.0,0.0
Tesla P100 SXM2,NVIDIA,GPU,Mid-Range,10.61,21.22,0.0,300.0,0.035366666666666664,2.0,0.0
TESLA M60,NVIDIA,GPU,Entry-Level,9.65,0.0,0.0,300.0,0.03216666666666667,0.0,0.0
P100 PCIe 16GB,NVIDIA,GPU,Entry-Level,9.56,19.1,0.0,250.0,0.03824,1.997907949790795,0.0
Tesla P100 PCIe 16GB,NVIDIA,GPU,Entry-Level,9.526,19.05,0.0,250.0,0.038104,1.9997900482888937,0.0
Tesla P100 PCIe 12GB,NVIDIA,GPU,Entry-Level,9.526,19.05,0.0,250.0,0.038104,1.9997900482888937,0.0
P100,NVIDIA,GPU,Entry-Level,9.3,18.7,0.0,250.0,0.037200000000000004,2.010752688172043,0.0
Quadro P5000,NVIDIA,GPU,Entry-Level,8.873,0.1386,0.0,180.0,0.04929444444444444,0.015620421503437395,0.0
GTX 1080,NVIDIA,GPU,Entry-Level,8.873,0.1386,0.0,180.0,0.04929444444444444,0.015620421503437395,0.0
PEZY-SC2,PEZY,Unknown,Entry-Level,8.192,16.04,0.0,180.0,0.04551111111111111,1.9580078124999998,0.0
Tesla T4,NVIDIA,GPU,Entry-Level,8.141,65.1299999999999,0.0,70.0,0.1163,8.00024567006509,0.0
Tesla K80,NVIDIA,GPU,Entry-Level,8.126,0.0,0.0,300.0,0.027086666666666665,0.0,0.0
Quadro RTX 4000,NVIDIA,GPU,Entry-Level,7.119,14.24,0.0,160.0,0.04449375,2.000280938334036,0.0
M40,NVIDIA,GPU,Entry-Level,6.832,0.0,0.0,250.0,0.027327999999999998,0.0,0.0
GTX Titan X,NVIDIA,GPU,Entry-Level,6.691,0.0,0.0,250.0,0.026764,0.0,0.0
Tesla P4,NVIDIA,GPU,Entry-Level,5.704,0.08912,22.0,75.0,0.07605333333333333,0.015624123422159889,3.856942496493689
GTX Titan Black,NVIDIA,GPU,Entry-Level,5.645,0.0,0.0,250.0,0.02258,0.0,0.0
Quadro P4000,NVIDIA,GPU,Entry-Level,5.304,0.08288,0.0,105.0,0.05051428571428572,0.015625942684766213,0.0
Quadro K6000,NVIDIA,GPU,Entry-Level,5.196,0.0,0.0,225.0,0.023093333333333334,0.0,0.0
Tesla K40s,NVIDIA,GPU,Entry-Level,5.046,0.0,0.0,245.0,0.02059591836734694,0.0,0.0
Tesla K40t,NVIDIA,GPU,Entry-Level,5.046,0.0,0.0,245.0,0.02059591836734694,0.0,0.0
GTX 980,NVIDIA,GPU,Legacy,4.981,0.0,0.0,165.0,0.030187878787878788,0.0,0.0
MT-2000,National University of Defense Technology,Unknown,Legacy,4.92,0.0,0.0,240.0,0.0205,0.0,0.0
GTX Titan,NVIDIA,GPU,Legacy,4.709,0.0,0.0,250.0,0.018836,0.0,0.0
GTX 780,NVIDIA,GPU,Legacy,4.156,0.0,0.0,250.0,0.016624,0.0,0.0
Tesla K20X,NVIDIA,GPU,Legacy,3.935,0.0,0.0,235.0,0.01674468085106383,0.0,0.0
Tesla K20c,NVIDIA,GPU,Legacy,3.52,0.0,0.0,225.0,0.015644444444444443,0.0,0.0
Google TPU v2,Google,TPU,Legacy,3.0,0.0,0.0,280.0,0.010714285714285714,0.0,0.0
Meta MTIA v2,Meta,Other,Legacy,2.76,0.0,354.0,90.0,0.030666666666666665,0.0,128.2608695652174
Quadro M4000,NVIDIA,GPU,Legacy,2.573,0.0,0.0,120.0,0.021441666666666668,0.0,0.0
Meta MTIA v1,Meta,Other,Legacy,1.6,0.0,102.4,25.0,0.064,0.0,64.0
GTX 580,NVIDIA,GPU,Legacy,1.581,0.0,0.0,244.0,0.006479508196721311,0.0,0.0
Quadro K4000,NVIDIA,GPU,Legacy,1.244,0.0,0.0,80.0,0.01555,0.0,0.0
Quadro P600,NVIDIA,GPU,Legacy,1.196,0.01868,0.0,40.0,0.0299,0.015618729096989966,0.0
Quadro K1200,NVIDIA,GPU,Legacy,1.151,0.0,0.0,45.0,0.02557777777777778,0.0,0.0
Tesla C2050,NVIDIA,GPU,Legacy,1.028,0.0,0.0,238.0,0.004319327731092437,0.0,0.0
GTX 280,NVIDIA,GPU,Legacy,0.6221,0.0,0.0,236.0,0.0026360169491525423,0.0,0.0
