hardware_name,unified_manufacturer,type,performance_tier,memory_size_gb,memory_bandwidth_gbps,fp32_tflops,unified_tdp,memory_compute_ratio,tops_per_watt_fp32
RTX A5000,NVIDIA,GPU,High-Performance,24000000000.0,768.0,27.77,230.0,27.6557436082103,0.1207391304347826
MTT S4000,Moore Threads (Tencent),GPU,High-Performance,48000000000.0,768.0,25.0,450.0,30.72,0.0555555555555555
Cambricon MLU370-X8,Cambricon,Unknown,High-Performance,48000000000.0,614.4,24.0,250.0,25.6,0.096
Cambricon MLU370-X4,Cambricon,Unknown,High-Performance,24000000000.0,307.2,24.0,150.0,12.8,0.16
Tesla D1 Dojo,Tesla,GPU,High-Performance,0.0,10000.0,22.6,400.0,442.4778761061947,0.0565
Data Center GPU Max 1100,Intel,GPU,High-Performance,48000000000.0,1230.0,22.22,300.0,55.35553555355536,0.0740666666666666
Baidu Kunlun R100 (100W),Kunlunxin Baidu,XPU-R,High-Performance,12000000000.0,384.0,20.0,100.0,19.2,0.2
A100,NVIDIA,GPU,Mid-Range,40000000000.0,1560.0,19.5,400.0,80.0,0.04875
A800 SXM,NVIDIA,GPU,Mid-Range,0.0,2040.0,19.49,400.0,104.66906105695227,0.048725
A800 PCIe 80 GB,NVIDIA,GPU,Mid-Range,0.0,1940.0,19.49,250.0,99.5382247306311,0.0779599999999999
A800 PCIe 40 GB,NVIDIA,GPU,Mid-Range,0.0,1560.0,19.49,250.0,80.04104669061057,0.0779599999999999
A100 SXM4 40 GB,NVIDIA,GPU,Mid-Range,40000000000.0,1560.0,19.49,400.0,80.04104669061057,0.048725
A100 SXM4 80 GB,NVIDIA,GPU,Mid-Range,80000000000.0,2039.0,19.49,400.0,104.61775269368908,0.048725
A100 PCIe,NVIDIA,GPU,Mid-Range,0.0,1940.0,19.49,300.0,99.5382247306311,0.0649666666666666
RTX A4000,NVIDIA,GPU,Mid-Range,16000000000.0,448.0,19.17,140.0,23.3698487219614,0.1369285714285714
Cambricon MLU370-S4/S8,Cambricon,Unknown,Mid-Range,24000000000.0,307.2,18.0,75.0,17.066666666666666,0.24
Cambricon MLU370-S4,Cambricon,Unknown,Mid-Range,24000000000.0,307.2,18.0,75.0,17.066666666666666,0.24
Baidu Kunlun R100 (75W),Kunlunxin Baidu,XPU-R,Mid-Range,12000000000.0,384.0,18.0,75.0,21.33333333333333,0.24
MetaX MXC500 (OAM),MetaX,GPGPU,Mid-Range,64000000000.0,18000.0,18.0,450.0,1000.0,0.04
Cambricon MLU370-S8,Cambricon,Unknown,Mid-Range,48000000000.0,307.2,18.0,75.0,17.066666666666666,0.24
Tesla V100S PCIe 32 GB,NVIDIA,GPU,Mid-Range,32000000000.0,1130.0,16.35,250.0,69.11314984709479,0.0654
Quadro RTX 6000,NVIDIA,GPU,Mid-Range,24000000000.0,672.0,16.3099999999999,260.0,41.20171673819768,0.0627307692307688
Quadro RTX 8000,NVIDIA,GPU,Mid-Range,48000000000.0,672.0,16.3,260.0,41.22699386503067,0.0626923076923077
Tesla V100 DGXS 16 GB,NVIDIA,GPU,Mid-Range,16000000000.0,897.0,16.2,250.0,55.37037037037037,0.0648
Baidu Kunlun K200,Kunlunxin Baidu,XPU,Mid-Range,16000000000.0,512.0,16.0,150.0,32.0,0.1066666666666666
Baidu Kunlun I,Kunlunxin Baidu,XPU,Mid-Range,0.0,512.0,16.0,150.0,32.0,0.1066666666666666
Tesla V100 SXM2 16 GB,NVIDIA,GPU,Mid-Range,0.0,897.0,15.67,300.0,57.243139757498405,0.0522333333333333
Tesla V100 SXM2 32 GB,NVIDIA,GPU,Mid-Range,32000000000.0,898.0,15.67,300.0,57.30695596681557,0.0522333333333333
Tesla V100 SXM3 32 GB,NVIDIA,GPU,Mid-Range,0.0,898.0,15.67,300.0,57.30695596681557,0.0522333333333333
V100,NVIDIA,GPU,Mid-Range,0.0,897.0,15.67,300.0,57.243139757498405,0.0522333333333333
Tesla V100 DGXS 32 GB,NVIDIA,GPU,Mid-Range,32000000000.0,897.0,15.67,250.0,57.243139757498405,0.06268
Tesla V100 SXM2,NVIDIA,GPU,Mid-Range,16000000000.0,897.0,15.67,300.0,57.243139757498405,0.0522333333333333
MetaX MXC500 (PCIe),MetaX,GPGPU,Mid-Range,64000000000.0,18000.0,15.0,350.0,1200.0,0.0428571428571428
Titan V,NVIDIA,GPU,Mid-Range,12000000000.0,651.0,14.9,250.0,43.69127516778524,0.0596
Habana Gaudi3,Intel,Unknown,Mid-Range,128000000000.0,3700.0,14.3,900.0,258.7412587412587,0.0158888888888888
Tesla V100 PCIe 32 GB,NVIDIA,GPU,Mid-Range,32000000000.0,897.0,14.13,250.0,63.481953290870486,0.05652
Tesla V100 PCIe 16 GB,NVIDIA,GPU,Mid-Range,16000000000.0,897.0,14.13,250.0,63.481953290870486,0.05652
RTX 2080 Ti 11GB,NVIDIA,GPU,Mid-Range,11000000000.0,616.0,13.45,250.0,45.79925650557621,0.0538
Quadro P6000,NVIDIA,GPU,Mid-Range,24000000000.0,433.0,12.63,250.0,34.283452098178934,0.05052
Titan Xp,NVIDIA,GPU,Mid-Range,12000000000.0,548.0,12.15,250.0,45.10288065843621,0.0486
P40,NVIDIA,GPU,Mid-Range,24000000000.0,694.3,11.76,250.0,59.0391156462585,0.04704
GTX 1080 Ti,NVIDIA,GPU,Mid-Range,11000000000.0,484.0,11.34,250.0,42.68077601410935,0.04536
Quadro RTX 5000,NVIDIA,GPU,Mid-Range,16000000000.0,448.0,11.15,230.0,40.17937219730941,0.0484782608695652
TESLA M60,NVIDIA,GPU,Entry-Level,16000000000.0,320.8,9.65,300.0,33.24352331606217,0.0321666666666666
P100 PCIe 16GB,NVIDIA,GPU,Entry-Level,16000000000.0,732.0,9.56,250.0,76.56903765690376,0.03824
Tesla P100 PCIe 16GB,NVIDIA,GPU,Entry-Level,0.0,732.2,9.526,250.0,76.86332143606971,0.038104
Tesla P100 PCIe 12GB,NVIDIA,GPU,Entry-Level,0.0,549.1,9.526,250.0,57.64224228427462,0.038104
P100,NVIDIA,GPU,Entry-Level,16000000000.0,732.0,9.3,250.0,78.70967741935483,0.0372
Quadro P5000,NVIDIA,GPU,Entry-Level,16000000000.0,288.0,8.873,180.0,32.458018708441344,0.0492944444444444
GTX 1080,NVIDIA,GPU,Entry-Level,8000000000.0,320.3,8.873,180.0,36.09827566775612,0.0492944444444444
PEZY-SC2,PEZY,Unknown,Entry-Level,0.0,102.37718675,8.192,180.0,12.49721517944336,0.0455111111111111
Tesla T4,NVIDIA,GPU,Entry-Level,16000000000.0,320.0,8.141,70.0,39.30721041641076,0.1163
Tesla K80,NVIDIA,GPU,Entry-Level,24000000000.0,241.0,8.126,300.0,29.657888259906475,0.0270866666666666
Quadro RTX 4000,NVIDIA,GPU,Entry-Level,8000000000.0,416.0,7.119,160.0,58.43517347942127,0.04449375
M40,NVIDIA,GPU,Entry-Level,12000000000.0,288.0,6.832,250.0,42.15456674473068,0.0273279999999999
GTX Titan X,NVIDIA,GPU,Entry-Level,12000000000.0,336.6,6.691,250.0,50.306381706770296,0.026764
Tesla P4,NVIDIA,GPU,Entry-Level,8000000000.0,192.3,5.704,75.0,33.71318373071529,0.0760533333333333
GTX Titan Black,NVIDIA,GPU,Entry-Level,6000000000.0,336.0,5.645,250.0,59.52170062001772,0.02258
Quadro P4000,NVIDIA,GPU,Entry-Level,8000000000.0,243.4,5.304,105.0,45.88989441930618,0.0505142857142857
Quadro K6000,NVIDIA,GPU,Entry-Level,12000000000.0,288.0,5.196,225.0,55.42725173210162,0.0230933333333333
Tesla K40s,NVIDIA,GPU,Entry-Level,12000000000.0,288.0,5.046,245.0,57.07491082045184,0.0205959183673469
Tesla K40t,NVIDIA,GPU,Entry-Level,12000000000.0,288.4,5.046,245.0,57.154181529924685,0.0205959183673469
GTX 980,NVIDIA,GPU,Legacy,4000000000.0,224.4,4.981,165.0,45.051194539249146,0.0301878787878787
MT-2000,National University of Defense Technology,Unknown,Legacy,0.0,153.652,4.92,240.0,31.230081300813005,0.0205
GTX Titan,NVIDIA,GPU,Legacy,6000000000.0,288.4,4.709,250.0,61.24442556806116,0.018836
GTX 780,NVIDIA,GPU,Legacy,3000000000.0,288.4,4.156,250.0,69.39364773820982,0.016624
Tesla K20c,NVIDIA,GPU,Legacy,5000000000.0,208.0,3.52,225.0,59.09090909090909,0.0156444444444444
Google TPU v2,Google,TPU,Legacy,16000000000.0,600.0,3.0,280.0,200.0,0.0107142857142857
Meta MTIA v2,Meta,Other,Legacy,256000000.0,1000.0,2.76,90.0,362.3188405797102,0.0306666666666666
Quadro M4000,NVIDIA,GPU,Legacy,8000000000.0,192.0,2.573,120.0,74.62106490478041,0.0214416666666666
Meta MTIA v1,Meta,Other,Legacy,128000000.0,800.0,1.6,25.0,500.0,0.064
GTX 580,NVIDIA,GPU,Legacy,1536000000.0,192.4,1.581,244.0,121.69512966476914,0.0064795081967213
Quadro K4000,NVIDIA,GPU,Legacy,3000000000.0,134.8,1.244,80.0,108.36012861736336,0.01555
Quadro P600,NVIDIA,GPU,Legacy,2000000000.0,64.13,1.196,40.0,53.62040133779264,0.0299
Quadro K1200,NVIDIA,GPU,Legacy,4000000000.0,80.0,1.151,45.0,69.50477845351868,0.0255777777777777
GTX 280,NVIDIA,GPU,Legacy,1024000000.0,141.1,0.6221,236.0,226.8124095804533,0.0026360169491525
