hardware_name,unified_manufacturer,type,performance_tier,release_date,unified_price,unified_tdp,process_nm,fp32_tflops,fp16_tflops,int8_tops,memory_size_gb,memory_bandwidth_gbps,g3d_mark,g2d_mark,fps_estimate_3d,cuda_score,opencl_score,tops_per_watt_fp32,tops_per_watt_int8,fps_per_dollar,tflops_per_dollar,memory_compute_ratio,fp16_fp32_ratio,int8_fp32_ratio,latency_ms,throughput_ops_per_sec,multi_api_support,cuda_efficiency,opencl_efficiency,vulkan_efficiency
Huawei Ascend 910B4,Huawei,GPU,Enterprise,nan,0.0,0.0,7.0,72.0,280.0,0.0,32000000000.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,3.888888888888889,0.0,0.0,0.0,0,0.0,0.0,0.0
H100 SXM5 80GB,NVIDIA,GPU,Enterprise,2022-09-20,44489.88,700.0,5.0,66.91,133.8,1979.0,80000000000.0,3350.0,0.0,0.0,0.0,0.0,0.0,0.09558571428571429,2.827142857142857,0.0,0.0015039375246685314,50.06725452099836,1.9997010910177853,29.577043790165895,0.0,0.0,0,0.0,0.0,0.0
H200 SXM,NVIDIA,GPU,Enterprise,2024-11-18,0.0,700.0,5.0,66.91,0.0,1979.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.09558571428571429,2.827142857142857,0.0,0.0,71.73815573157974,0.0,29.577043790165895,0.0,0.0,0,0.0,0.0,0.0
GH100,NVIDIA,GPU,Enterprise,2023-03-21,0.0,700.0,0.0,66.91,0.0,1979.0,0.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.09558571428571429,2.827142857142857,0.0,0.0,45.91241966821103,0.0,29.577043790165895,0.0,0.0,0,0.0,0.0,0.0
GH200,NVIDIA,GPU,Enterprise,2023-08-08,0.0,700.0,5.0,66.91,0.0,1979.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.09558571428571429,2.827142857142857,0.0,0.0,73.23270064265432,0.0,29.577043790165895,0.0,0.0,0,0.0,0.0,0.0
B200,NVIDIA,GPU,Enterprise,2024-03-18,0.0,1000.0,0.0,62.08,2250.0,4500.0,192000000000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.062079999999999996,4.5,0.0,0.0,128.8659793814433,36.243556701030926,72.48711340206185,0.0,0.0,0,0.0,0.0,0.0
RX 7900 XTX,AMD,GPU,Enterprise,2022-11-03,999.0,335.0,0.0,61.42,122.8,0.0,24000000000.0,960.0,0.0,0.0,0.0,0.0,0.0,0.18334328358208957,0.0,0.0,0.061481481481481484,15.630087919244545,1.9993487463366981,0.0,0.0,0.0,0,0.0,0.0,0.0
L20 PCle,NVIDIA,GPU,Enterprise,2023-09-16,4299.0,275.0,5.0,59.35,59.35,239.0,48000000000.0,864.0,0.0,0.0,0.0,0.0,0.0,0.21581818181818183,0.8690909090909091,0.0,0.013805536171202606,14.55770850884583,1.0,4.026958719460826,0.0,0.0,0,0.0,0.0,0.0
H800 SXM5,NVIDIA,GPU,Enterprise,2023-03-21,0.0,700.0,5.0,59.3,0.0,1979.0,80000000000.0,3360.0,0.0,0.0,0.0,0.0,0.0,0.08471428571428571,2.827142857142857,0.0,0.0,56.6610455311973,0.0,33.37268128161889,0.0,0.0,0,0.0,0.0,0.0
Data Center GPU Max 1550,Intel,GPU,Enterprise,2023-01-10,0.0,600.0,10.0,52.43,52.43,0.0,128000000000.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.08738333333333333,0.0,0.0,0.0,62.55960328056456,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
H100 PCIe,NVIDIA,GPU,Enterprise,2022-09-20,0.0,350.0,4.0,51.22,204.9,0.0,0.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.14634285714285714,0.0,0.0,0.0,39.82819211245607,4.0003904724716906,0.0,0.0,0.0,0,0.0,0.0,0.0
RTX 4080,NVIDIA,GPU,High-Performance,2022-09-20,1199.0,320.0,0.0,48.74,48.74,390.0,16000000000.0,716.8,0.0,0.0,0.0,0.0,0.0,0.15231250000000002,1.21875,0.0,0.040650542118432026,14.706606483381204,1.0,8.001641362330734,0.0,0.0,0,0.0,0.0,0.0
Radeon Instinct MI250X,AMD,GPU,High-Performance,2021-11-08,14500.0,500.0,6.0,47.87,383.0,383.0,128000000000.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.09573999999999999,0.766,0.0,0.003301379310344827,68.51890536870692,8.000835596406937,8.000835596406937,0.0,0.0,0,0.0,0.0,0.0
Radeon Instinct MI300,AMD,GPU,High-Performance,2023-01-04,0.0,600.0,5.0,47.87,383.0,0.0,128000000000.0,6550.0,0.0,0.0,0.0,0.0,0.0,0.07978333333333333,0.0,0.0,0.0,136.82891163568,8.000835596406937,0.0,0.0,0.0,0,0.0,0.0,0.0
AWS Inferentia2,Amazon AWS,nan,High-Performance,2023-04-13,0.0,0.0,0.0,47.5,190.0,380.0,32000000000.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.263157894736842,4.0,8.0,0.0,0.0,0,0.0,0.0,0.0
Amazon Trainium1,Amazon AWS,GPU,High-Performance,2022-10-15,0.0,0.0,0.0,47.5,190.0,420.0,0.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.31578947368422,4.0,8.842105263157896,0.0,0.0,0,0.0,0.0,0.0
Data Center GPU Max 1350,Intel,GPU,High-Performance,2023-01-10,0.0,450.0,10.0,44.44,44.44,0.0,96000000000.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.09875555555555555,0.0,0.0,0.0,55.355535553555356,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
HGX H20,NVIDIA,GPU,High-Performance,2023-11-09,12000.0,400.0,0.0,44.0,0.0,296.0,96000000000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.11,0.74,0.0,0.0036666666666666666,90.9090909090909,0.0,6.7272727272727275,0.0,0.0,0,0.0,0.0,0.0
RTX 3090 Ti,NVIDIA,GPU,High-Performance,2022-03-29,1999.0,450.0,8.0,40.0,40.0,320.0,24000000000.0,1008.0,29094.0,1117.0,290.94,260346.0,229738.0,0.08888888888888889,0.7111111111111111,0.14554277138569285,0.02001000500250125,25.2,1.0,8.0,0.0,0.0,3,1.0,0.8824333771212156,0.5421016647077351
RTX A6000,NVIDIA,GPU,High-Performance,2020-10-05,4649.0,300.0,8.0,38.7,38.7,0.0,48000000000.0,768.0,22122.0,832.0,221.22,224604.0,200330.0,0.129,0.0,0.047584426758442676,0.008324370832437084,19.844961240310077,1.0,0.0,0.0,0.0,3,1.0,0.8919253441612794,0.4863804740788232
A40 PCIe,NVIDIA,GPU,High-Performance,2020-10-05,0.0,300.0,8.0,37.42,37.42,299.3,48000000000.0,695.8,0.0,0.0,0.0,0.0,0.0,0.12473333333333333,0.9976666666666667,0.0,0.0,18.594334580438264,1.0,7.998396579369321,0.0,0.0,0,0.0,0.0,0.0
RTX 3090,NVIDIA,GPU,High-Performance,2020-09-01,1499.0,350.0,8.0,35.58,35.58,284.0,24000000000.0,936.0,26395.0,999.0,263.95,238123.0,204921.0,0.10165714285714285,0.8114285714285714,0.17608405603735824,0.02373582388258839,26.30691399662732,1.0,7.982012366498033,0.0,0.0,3,1.0,0.860567857787782,0.5831398058986322
Baidu Kunlun R200-8F (160W),Kunlunxin Baidu,XPU-R,High-Performance,2022-01-01,0.0,160.0,7.0,32.0,128.0,256.0,32000000000.0,512.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,0.0,16.0,4.0,8.0,0.0,0.0,0,0.0,0.0,0.0
Baidu Kunlun RG800,Kunlunxin Baidu,XPU-R,High-Performance,2023-01-01,0.0,130.0,0.0,32.0,128.0,256.0,32000000000.0,512.0,0.0,0.0,0.0,0.0,0.0,0.24615384615384617,1.9692307692307693,0.0,0.0,16.0,4.0,8.0,0.0,0.0,0,0.0,0.0,0.0
Baidu Kunlun R200 (150W),Kunlunxin Baidu,XPU-R,High-Performance,2022-01-01,0.0,150.0,7.0,32.0,128.0,256.0,16000000000.0,512.0,0.0,0.0,0.0,0.0,0.0,0.21333333333333335,1.7066666666666668,0.0,0.0,16.0,4.0,8.0,0.0,0.0,0,0.0,0.0,0.0
Tianshu Zhixin Tiangai 100 (BI-V100),Iluvatar CoreX,GPGPU,High-Performance,2021-03-31,0.0,250.0,7.0,32.0,128.0,256.0,32000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,1.024,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0,0.0,0.0,0.0
A10G,NVIDIA,GPU,High-Performance,2021-04-12,0.0,150.0,8.0,31.5,31.5,0.0,24000000000.0,600.2,0.0,0.0,0.0,187763.0,126737.0,0.21,0.0,0.0,0.0,19.053968253968254,1.0,0.0,0.0,0.0,2,1.0,0.6749838892646581,0.0
A10 PCIe,NVIDIA,GPU,High-Performance,2021-04-12,2800.0,150.0,8.0,31.24,31.24,250.0,24000000000.0,600.2,0.0,0.0,0.0,0.0,0.0,0.20826666666666666,1.6666666666666667,0.0,0.011157142857142857,19.21254801536492,1.0,8.002560819462229,0.0,0.0,0,0.0,0.0,0.0
L4,NVIDIA,GPU,High-Performance,2023-03-21,0.0,72.0,5.0,30.29,30.29,242.0,24000000000.0,300.1,0.0,0.0,0.0,0.0,0.0,0.4206944444444444,3.361111111111111,0.0,0.0,9.907560250907892,1.0,7.989435457246616,0.0,0.0,0,0.0,0.0,0.0
RTX 3080,NVIDIA,GPU,High-Performance,2020-09-01,699.0,320.0,8.0,29.77,29.77,0.0,10000000000.0,760.0,24853.0,1003.0,248.53,206390.0,181771.0,0.09303125,0.0,0.3555507868383405,0.04258941344778255,25.529056096741687,1.0,0.0,0.0,0.0,3,1.0,0.8807161199670527,0.6111633315567615
RTX 4070,NVIDIA,GPU,High-Performance,2023-02-08,0.0,285.0,0.0,29.15,29.15,233.0,12000000000.0,504.2,0.0,0.0,0.0,0.0,0.0,0.10228070175438596,0.8175438596491228,0.0,0.0,17.296740994854204,1.0,7.993138936535163,0.0,0.0,0,0.0,0.0,0.0
RTX A5000,NVIDIA,GPU,High-Performance,2021-04-12,2250.0,230.0,8.0,27.77,27.77,0.0,24000000000.0,768.0,22867.0,984.0,228.67,193384.0,166307.0,0.12073913043478261,0.0,0.1016311111111111,0.012342222222222221,27.6557436082103,1.0,0.0,0.0,0.0,3,1.0,0.859983245770074,0.5622492036569726
Sunway SW26010-Pro,Sunway,nan,High-Performance,2023-11-26,0.0,0.0,14.0,27.6,55.296,0.0,96000000000.0,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.130434782608695,2.003478260869565,0.0,0.0,0.0,0,0.0,0.0,0.0
MTT S4000,Moore Threads (Tencent),GPU,High-Performance,2023-12-19,0.0,450.0,12.0,25.0,49.15,200.0,48000000000.0,768.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.4444444444444444,0.0,0.0,30.72,1.966,8.0,0.0,0.0,0,0.0,0.0,0.0
L2 PCle,NVIDIA,GPU,High-Performance,2023-11-09,0.0,0.0,0.0,24.1,0.0,193.0,24000000000.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.448132780082986,0.0,8.008298755186722,0.0,0.0,0,0.0,0.0,0.0
Cambricon MLU370-X8,Cambricon,nan,High-Performance,2022-03-21,0.0,250.0,7.0,24.0,96.0,256.0,48000000000.0,614.4,0.0,0.0,0.0,0.0,0.0,0.096,1.024,0.0,0.0,25.599999999999998,4.0,10.666666666666666,0.0,0.0,0,0.0,0.0,0.0
Cambricon MLU370-X4,Cambricon,nan,High-Performance,2021-11-03,0.0,150.0,7.0,24.0,96.0,256.0,24000000000.0,307.2,0.0,0.0,0.0,0.0,0.0,0.16,1.7066666666666668,0.0,0.0,12.799999999999999,4.0,10.666666666666666,0.0,0.0,0,0.0,0.0,0.0
Tianshu Zhixin Zhikai 100,Iluvatar CoreX,GPU,High-Performance,2022-12-20,0.0,0.0,0.0,24.0,96.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0,0.0,0.0,0.0
Tesla D1 Dojo,Tesla,GPU,High-Performance,2021-08-21,0.0,400.0,7.0,22.6,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0565,0.0,0.0,0.0,442.4778761061947,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Data Center GPU Max 1100,Intel,GPU,High-Performance,2023-01-10,0.0,300.0,10.0,22.22,22.22,0.0,48000000000.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.07406666666666667,0.0,0.0,0.0,55.355535553555356,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Baidu Kunlun R100 (100W),Kunlunxin Baidu,XPU-R,High-Performance,2022-01-01,0.0,100.0,0.0,20.0,85.0,170.0,12000000000.0,384.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7,0.0,0.0,19.2,4.25,8.5,0.0,0.0,0,0.0,0.0,0.0
A100,NVIDIA,GPU,Mid-Range,2020-03-01,0.0,400.0,7.0,19.5,77.97,624.0,40000000000.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.04875,1.56,0.0,0.0,80.0,3.9984615384615383,32.0,0.0,0.0,0,0.0,0.0,0.0
A800 SXM,NVIDIA,GPU,Mid-Range,2022-08-11,0.0,400.0,7.0,19.49,77.97,0.0,0.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.048725,0.0,0.0,0.0,104.66906105695229,4.000513083632632,0.0,0.0,0.0,0,0.0,0.0,0.0
A800 PCIe 80 GB,NVIDIA,GPU,Mid-Range,2022-11-03,0.0,250.0,7.0,19.49,77.97,0.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,0.07795999999999999,0.0,0.0,0.0,99.5382247306311,4.000513083632632,0.0,0.0,0.0,0,0.0,0.0,0.0
A800 PCIe 40 GB,NVIDIA,GPU,Mid-Range,2022-11-08,0.0,250.0,7.0,19.49,77.97,0.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.07795999999999999,0.0,0.0,0.0,80.04104669061057,4.000513083632632,0.0,0.0,0.0,0,0.0,0.0,0.0
A100 SXM4 40 GB,NVIDIA,GPU,Mid-Range,2020-05-14,15000.0,400.0,7.0,19.49,77.97,624.0,40000000000.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.048725,1.56,0.0,0.0012993333333333333,80.04104669061057,4.000513083632632,32.01641867624423,0.0,0.0,0,0.0,0.0,0.0
A100 SXM4 80 GB,NVIDIA,GPU,Mid-Range,2020-11-16,0.0,400.0,7.0,19.49,77.97,624.0,80000000000.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.048725,1.56,0.0,0.0,104.61775269368908,4.000513083632632,32.01641867624423,0.0,0.0,0,0.0,0.0,0.0
A100 PCIe,NVIDIA,GPU,Mid-Range,2020-06-22,0.0,300.0,7.0,19.49,77.97,624.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,0.06496666666666666,2.08,0.0,0.0,99.5382247306311,4.000513083632632,32.01641867624423,0.0,0.0,0,0.0,0.0,0.0
RTX A4000,NVIDIA,GPU,Mid-Range,2021-04-12,1000.0,140.0,8.0,19.17,19.17,0.0,16000000000.0,448.0,18988.0,938.0,189.88,124547.0,116149.0,0.13692857142857143,0.0,0.18988,0.019170000000000003,23.369848721961397,1.0,0.0,0.0,0.0,3,1.0,0.9325716396219901,0.6695464362850972
Cambricon MLU370-S4/S8,Cambricon,nan,Mid-Range,2021-11-03,0.0,75.0,7.0,18.0,72.0,192.0,24000000000.0,307.2,0.0,0.0,0.0,0.0,0.0,0.24,2.56,0.0,0.0,17.066666666666666,4.0,10.666666666666666,0.0,0.0,0,0.0,0.0,0.0
Cambricon MLU370-S4,Cambricon,nan,Mid-Range,2021-11-03,0.0,75.0,7.0,18.0,72.0,192.0,24000000000.0,307.2,0.0,0.0,0.0,0.0,0.0,0.24,2.56,0.0,0.0,17.066666666666666,4.0,10.666666666666666,0.0,0.0,0,0.0,0.0,0.0
Baidu Kunlun R100 (75W),Kunlunxin Baidu,XPU-R,Mid-Range,2022-01-01,0.0,75.0,0.0,18.0,64.0,128.0,12000000000.0,384.0,0.0,0.0,0.0,0.0,0.0,0.24,1.7066666666666668,0.0,0.0,21.333333333333332,3.5555555555555554,7.111111111111111,0.0,0.0,0,0.0,0.0,0.0
MetaX MXC500 (OAM),MetaX,GPGPU,Mid-Range,2023-01-01,0.0,450.0,7.0,18.0,280.0,560.0,64000000000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.04,1.2444444444444445,0.0,0.0,1000.0,15.555555555555555,31.11111111111111,0.0,0.0,0,0.0,0.0,0.0
Cambricon MLU370-S8,Cambricon,nan,Mid-Range,2021-11-03,0.0,75.0,7.0,18.0,72.0,192.0,48000000000.0,307.2,0.0,0.0,0.0,0.0,0.0,0.24,2.56,0.0,0.0,17.066666666666666,4.0,10.666666666666666,0.0,0.0,0,0.0,0.0,0.0
Tesla V100S PCIe 32 GB,NVIDIA,GPU,Mid-Range,2019-11-26,0.0,250.0,12.0,16.35,32.71,0.0,32000000000.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0654,0.0,0.0,0.0,69.11314984709479,2.000611620795107,0.0,0.0,0.0,0,0.0,0.0,0.0
Quadro RTX 6000,NVIDIA,GPU,Mid-Range,2018-08-13,6300.0,260.0,12.0,16.3099999999999,32.62,0.0,24000000000.0,672.0,19692.0,837.0,196.92,159550.0,134522.0,0.06273076923076884,0.0,0.03125714285714286,0.002588888888888873,41.20171673819768,2.000000000000012,0.0,0.0,0.0,3,1.0,0.8431338138514572,0.6459041052961454
Quadro RTX 8000,NVIDIA,GPU,Mid-Range,2018-08-13,0.0,260.0,12.0,16.3,32.62,0.0,48000000000.0,672.0,19126.0,801.0,191.26,144049.0,125554.0,0.0626923076923077,0.0,0.0,0.0,41.22699386503067,2.0012269938650302,0.0,0.0,0.0,3,1.0,0.8716061895604967,0.6241695534158516
Tesla V100 DGXS 16 GB,NVIDIA,GPU,Mid-Range,2018-03-27,0.0,250.0,12.0,16.2,32.4,0.0,16000000000.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.0,0.0,0.0,55.370370370370374,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Baidu Kunlun K200,Kunlunxin Baidu,XPU,Mid-Range,2020-01-01,0.0,150.0,14.0,16.0,64.0,256.0,16000000000.0,512.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,1.7066666666666668,0.0,0.0,32.0,4.0,16.0,0.0,0.0,0,0.0,0.0,0.0
Baidu Kunlun I,Kunlunxin Baidu,XPU,Mid-Range,2019-01-01,0.0,150.0,14.0,16.0,64.0,256.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,1.7066666666666668,0.0,0.0,32.0,4.0,16.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 SXM2 16 GB,NVIDIA,GPU,Mid-Range,2017-06-21,0.0,300.0,12.0,15.67,31.33,0.0,0.0,897.0,0.0,0.0,0.0,0.0,0.0,0.05223333333333333,0.0,0.0,0.0,57.243139757498405,1.9993618379068283,0.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 SXM2 32 GB,NVIDIA,GPU,Mid-Range,2018-03-27,11458.0,300.0,12.0,15.67,31.33,0.0,32000000000.0,898.0,0.0,0.0,0.0,0.0,0.0,0.05223333333333333,0.0,0.0,0.0013676034211904345,57.30695596681557,1.9993618379068283,0.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 SXM3 32 GB,NVIDIA,GPU,Mid-Range,2018-03-27,0.0,300.0,12.0,15.67,31.33,0.0,0.0,898.0,0.0,0.0,0.0,0.0,0.0,0.05223333333333333,0.0,0.0,0.0,57.30695596681557,1.9993618379068283,0.0,0.0,0.0,0,0.0,0.0,0.0
V100,NVIDIA,GPU,Mid-Range,2017-06-21,0.0,300.0,12.0,15.67,31.33,0.0,0.0,897.0,0.0,0.0,0.0,0.0,0.0,0.05223333333333333,0.0,0.0,0.0,57.243139757498405,1.9993618379068283,0.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 DGXS 32 GB,NVIDIA,GPU,Mid-Range,2018-03-27,0.0,250.0,12.0,15.67,31.33,0.0,32000000000.0,897.0,0.0,0.0,0.0,0.0,0.0,0.06268,0.0,0.0,0.0,57.243139757498405,1.9993618379068283,0.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 SXM2,NVIDIA,GPU,Mid-Range,2017-07-01,11500.0,300.0,12.0,15.67,31.33,0.0,16000000000.0,897.0,0.0,0.0,0.0,0.0,0.0,0.05223333333333333,0.0,0.0,0.0013626086956521738,57.243139757498405,1.9993618379068283,0.0,0.0,0.0,0,0.0,0.0,0.0
MetaX MXC500 (PCIe),MetaX,GPGPU,Mid-Range,2023-06-13,0.0,350.0,7.0,15.0,240.0,480.0,64000000000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,1.3714285714285714,0.0,0.0,1200.0,16.0,32.0,0.0,0.0,0,0.0,0.0,0.0
Titan V,NVIDIA,GPU,Mid-Range,2017-12-01,2999.0,250.0,12.0,14.9,29.8,0.0,12000000000.0,651.0,18816.0,845.0,188.16,176773.0,136749.0,0.0596,0.0,0.06274091363787929,0.004968322774258086,43.691275167785236,2.0,0.0,0.0,0.0,3,1.0,0.7735853326016983,0.8159503996651072
Habana Gaudi3,Intel,nan,Mid-Range,2024-09-24,0.0,900.0,5.0,14.3,28.7,0.0,128000000000.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.01588888888888889,0.0,0.0,0.0,258.7412587412587,2.0069930069930066,0.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 PCIe 32 GB,NVIDIA,GPU,Mid-Range,2018-03-27,11458.0,250.0,12.0,14.13,28.26,0.0,32000000000.0,897.0,0.0,0.0,0.0,0.0,0.0,0.05652,0.0,0.0,0.0012331995112585094,63.481953290870486,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Tesla V100 PCIe 16 GB,NVIDIA,GPU,Mid-Range,2017-06-21,10664.0,250.0,12.0,14.13,28.26,0.0,16000000000.0,897.0,0.0,0.0,0.0,0.0,0.0,0.05652,0.0,0.0,0.0013250187546886723,63.481953290870486,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
RTX 2080 Ti 11GB,NVIDIA,GPU,Mid-Range,2018-09-20,999.0,250.0,12.0,13.45,26.9,227.7,11000000000.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0538,0.9107999999999999,0.0,0.013463463463463462,45.79925650557621,2.0,16.929368029739777,0.0,0.0,0,0.0,0.0,0.0
Quadro P6000,NVIDIA,GPU,Mid-Range,2016-10-01,5999.0,250.0,16.0,12.63,0.1974,0.0,24000000000.0,433.0,15811.0,773.0,158.11,47462.0,56151.0,0.05052,0.0,0.026356059343223874,0.002105350891815303,34.283452098178934,0.01562945368171021,0.0,0.0,0.0,3,0.6075136,0.7187328,1.0
Titan Xp,NVIDIA,GPU,Mid-Range,2017-04-06,1199.0,250.0,16.0,12.15,0.1898,0.0,12000000000.0,548.0,18894.0,902.0,188.94,58384.0,65766.0,0.048600000000000004,0.0,0.157581317764804,0.010133444537114263,45.10288065843621,0.015621399176954731,0.0,0.0,0.0,3,0.6611405535172351,0.7447343389047425,1.0
P40,NVIDIA,GPU,Mid-Range,2016-09-13,5699.0,250.0,0.0,11.76,0.1837,0.0,24000000000.0,694.3,0.0,0.0,0.0,0.0,0.0,0.04704,0.0,0.0,0.002063519915774697,59.0391156462585,0.015620748299319729,0.0,0.0,0.0,0,0.0,0.0,0.0
GTX 1080 Ti,NVIDIA,GPU,Mid-Range,2017-03-10,699.0,250.0,16.0,11.34,0.1772,0.0,11000000000.0,484.0,18284.0,934.0,182.84,55628.0,61295.0,0.04536,0.0,0.2615736766809728,0.016223175965665235,42.68077601410935,0.015626102292768958,0.0,0.0,0.0,4,0.649389460904485,0.7155448156708926,1.0
